genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[83]sgavKdcgIAEkpwKcNcHtaQIuxfcyuKHLvElctNDygHljkwgFOgLEujNxsjJsmPkxcINtPtccfmPuHnECcqo",602111,748.322,602,194,15,1, 1
"[59]iuvzierIKulzlHPLsOIKodetfeMPoIeleybuRelxHKPERaryMilpLwlIoyI",1.58281e+06,136114,2202,231,39,0, 10
"[98]FpHPdnEcgbgAivdccPccePOgKcswcIHtFcHqchnmIrRjcbewvcjNLGObnbMehvARHoKNchmENemcDyyohMlHmEusqvdBtGEOoI",13581.7,1460.8,585,128,0,0, 100
"[89]gradNAMinspPjtIGoKOgcsHmIncHPccRAQOPbHolMiHKckNFbqBLjEKHqgnLkIgJJIluEluyzOlmkFHBzjctfKmGh",108902,867.924,1959,174,18,1, 101
"[62]aRDNMpjQJgPtjqvPKtFKaiNPKgsPMtadbHGQccccHNKckcccpEjmfIBcncHRaz",7492.79,1085.27,2114,124,4,1, 102
"[99]azlLIzMHaQfeaHIgHOcppDpqLcIJoRIfuoOwKcFmcHHbfoPHqIxxyiEunihnthGxDDfvOwdAQKIGpQnFsIIRvKMRmOALEdplOma",1.47584e+08,35703.5,1911,574,321,0, 103
"[101]kIKcBcBNvsdcHltfsxogugftzIemmdktPBaKcopewoczcIEzmMkctKAbfoNJoPHelAAzBfgEKHkichKcPwjoNGocIFaymbtrwhwcJ",2.87534e+07,2646.85,416,406,175,3, 104
"[96]PGHqcccjfzypckEIKckPbcccyQHOxnHLcHeNcHgPOmQkzLswcQeCIvgFBaqMgnagccOPeryNQHuHccoCcFMEElonwPjazMfv",2.30554e+08,33145.7,461,373,114,0, 105
"[100]DPiccuIfQliPmOPnfFeoEccsdtOwALvQOsCcQgwsNnfnOBuiNIvzKcLcHuMxFzbscculchIHHMdcHQcHyOccOJcfcvmmFcocJNcQ",1.48881e+12,229047,408,673,296,0, 106
"[93]QFcclpdctLjcQIycHQcdEHbnzzdKcMDOaexrzgCcovHJvdNJodjcpiRNcojRQgzaFJhadicKcFrhKwKocHeAzeDctmcoG",2.29548e+06,87131.2,521,202,5,1, 107
"[103]rNeBjMNKcpxDcwlcOcIcogczartjccHbIOcJFCahRsyGDjDjxKicddIMbFncxHHshfPJkcFuOfNHvIHHtfOAFdjjnhqMzOwbcFeqnoG",4.51149e+09,101100,375,660,361,3, 108
"[59]wAotsKjurcIwfxHLHDtyrfHHLaIQIyrDRiOGhKtciaboQNzRaHqaIJBcghI",87130.6,30770.6,1672,178,25,1, 109
"[95]achjbhcLJuxcICDCnzAIEeEhtFvsEwfruGDllBcKLcIpAHEcHjcMdBRHgkfzctApgsnNIufQHKcggFyqdesItaNxiklMddG",3.32902e+06,447221,1400,220,18,2, 11
"[99]PjcvKcvMnycaMcjyKwccccJBcALRHHlcLpcmOqCljqJtBcKcRkpccccgQFzhcLFaBqLzsHfLMPijABcosBBcuxexjchaJmaBbQG",3.90519e+11,1.97832e+06,359,557,198,0, 110
"[59]jlKcNKtcKOehOcRcMRHHOGqMbagrcQeAIvdCuuCbuxntlJChQswudjPncHQ",810646,4796.68,1823,205,22,1, 111
