genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[98]cKccccgFbHzcccccchccceaccFccxcccccczcKeucccccMOcHHcRccgxccHecccccHccxJckFRhxcchvHtmFNccccrQczcFccG",1.12855e+10,7.43447e+07,90,417,6,3, 1
"[100]cnxCcflEFAHcKcBceMhRcJphxxHJCcofxbAscmccHMeeoJEhmnDcbhHbcEcconDBEcshMccccqAxGiMiccbEPkircPgOMziccCce",870897,6025.89,146,246,127,0, 10
"[100]DcbLcdNchMPHcdccrncpObcCccuLngxczKHqccrcccccHpcxuoclccsccccRcHKFcjccbicJcqQcAMOcgccsccFccgcOcncgcccG",2.4233e+11,436992,101,365,109,2, 100
"[102]BcQMfnrcJcHjRkcFlvlDuKPomNdcOcwKBbufycxFGezLNcwacncLhMcHkaKccHLzBckMkoKcccHNcDcchcjnOcJHqkhcowwhlxpHNi",7.67207e+19,1.37796e+10,255,813,0,3, 101
"[102]PQlMNHoJNyHLCOqDLzyCfkGaugzRJqfGMjdKuoBeGQunaKackgBGmJmOGKHeEHMGepKhFLHyxeszmvascyHwehQQHpwHGmzHJjjDri",5.41451e+09,153195,803,195,0,0, 102
"[101]wawyMGxNjHhmemiptodRwpkfeicDfarljxpsMcPpMdyaJPOQKAdcdwrBejctsHHmHHnQsjocHKcycHeJRBHljsBGABPyooefpDOAq",2.70628e+17,3.49113e+16,613,550,158,2, 103
"[98]aPyzlHKAcHfHoJDcHAJgcDovhhLwdCoAwsdxccAkcccfPzjftAkHsbcndQxDchPHOxHBfccHijcKecLdoHdvgcJxdOHjHcnBHy",7.5147e+15,9.58189e+10,369,369,12,1, 104
"[100]kecczMxcbzcNCOcjNicnohcNGulcpFNweJsEncfdsFlHlxwducncclLQfcccHePqxjchcpeHHFlhMcdDcdHzHplfKccrclkcccAO",3.36629e+13,117387,271,271,0,0, 105
"[97]KvHcHQwaucHcHHccNQcQoKcJAcaHoRhLGfpccQkcnctQPOwhMutncEwccHHNJqbKAqknJzcaQkHoccgAHCffbgePaukBJxMag",7.70333e+07,26732.1,310,168,10,0, 106
"[101]vcJBacxclMLhHcHOcGAiQccHEFaodxEbloxlwfELfhacKcflwbcQzvHNMdHvaMDzCcxcpcvymHoqHcOiHxCcrjgoAnqccbgNwytll",3.70646e+11,6.73491e+12,242,473,0,3, 107
"[61]KdJGwbqshuJzMphfRtRvtCGzBNKssigynxxwGERtmMFOHgeEbHKnHdwocHQHH",4.23626e+13,1.60889e+11,3254,273,0,0, 108
"[96]qGcFFOcNfcccyctAOaicPNoaAnOrpcccbcccdcFAQyaucaBcOccHNyucoHcmpzMcrJMHkcEccFHHFtcjcqccKcqcccnsHFcb",1.48827e+16,33486.1,219,453,129,0, 109
"[97]PcsnIlcccoafoRcPEmaNIRyqcyLnOelyBHdHPfcDLHgfNcNfHiHHHEcsgHoKHDfKhtfFfIKHmObcasbDcMMcHQMHcwdyflAHc",2.90739e+17,7.09191e+10,413,985,271,3, 11
"[100]cczdOccJcAcRccCcctQBbcMEOGgBccrccjFcKcJnlgCfKcccncHtKNccAHcPcccaEckccsHccHHcHIcLwxcncHAFccdbEuiqcdcy",6.39623e+17,77936.6,159,819,91,3, 110
"[100]tNcacCtikszllcQpFvjOIwcHxcIAhaFcKcjcvxcccHcxdHvhHfCccnIPccovgcCcdusvzzHwxcntfcafcdepyCfIdNmOHtHbckPG",7.13007e+14,2.67498e+13,332,405,71,1, 111
"[93]cchcuasopMcoMcuJfshcbcQlcOCcOczcwpcahuzclPcQPdBeBylewNHcHwcHxcjMcRQcccpdcbpHcpnccHFHulpOclOfG",4.72114e+12,284635,171,297,12,1, 112
"[101]ccwcgHCCubbopQJcjcccccctcccaccchmPcdQHeuHOGcnHNcvcPcvHFkcdcCgIczQfKgAcjccdqccyqcacniKnnQPccccqcHxvuMG",8.44261e+13,4.96249e+11,169,279,0,0, 113
"[101]cucuccfcicccHnKcghcJHBryOcfcnyueicacFHPccccFccPRlcKcHQocHCBcczGsGcwbdHCccuJcqucccHccccNvccncceucxcHcG",1.06532e+09,3.1177e+08,153,209,6,2, 114
"[100]xePcdtwfcccNquffbyEccHgLvrEdEcLdzHQvHnOowhcezcxufcccvicNnHMCwddsaehtQcHbmgcHvHDcrvEcuQcHcvcdJgRcNcjG",7.70333e+07,31652.5,528,171,13,0, 115
"[93]HcDcfcFcQchPcgcaxcJoHwcprDacnHcsJOyHBcchcNcMcecPccbddeaAdNccHHcIucvxcKcDecGacCcxiccccHcKcncbH",1.50571e+13,3.4141e+07,212,273,9,0, 116
"[94]HcaJEkcRqcccancogOccMbxcnoAEAeQEFcLcaccmFscQlchBcHicFccKcctccHPcccMQcBOAHcHNHjbccuccylwtadzccN",2.4233e+11,3.28589e+09,189,300,44,1, 117
"[92]ciccccEcnctcsLcBcHccscBQKycHzwzcFcccccccnccxccHHacoNccPctaDccccccccmcdqcccccwcLfcccJAccccEPH",2.6918e+13,572.381,83,312,10,1, 118
"[97]ugcMclJEEcsrcocGxEcsuzvKcKcDBcHDcQtKcsKHQcjPHasicDjdcfzEgHpLcMixDcEbkOccbQgcogcHdfhwcKccHuvOkDecG",8.50843e+11,3.83655e+10,275,240,1,0, 119
"[103]jMGniHHwdMbOQHoGueAPJPptFKnJMzycksxPjALKckLflcocHnjbKkndHwlccHNOBthxoAJlQHlcLsHHQguOMcuQoLtHHHguALNeadM",1.05423e+16,5.49756e+11,425,321,0,0, 12
"[99]ccexccPvcEcyckccJcccsNcqcKpPhacffcccOFdcogezxHcmdMdcocclKabcmKcBcecccocdcibytccPHcOgcHojbcxjcjcccoG",5.41451e+09,1.17702e+07,130,195,0,0, 120
"[101]ccmcAEKccwrAccdcDcvncJPtcFcdHwncccbcdKcAQccccccqcDaczccnJcbcHHccocccfcccbHcEcczAccMcDacKcpwcNocucjace",1.85282e+17,1.70228e+11,95,756,50,3, 121
"[100]fEQcvdPvccxoaocGvjBcKrcvOLEQccdcpafRcslyrKcJHHNrcHOQMHczcqcFdHucAcpPFMsccsxgLQcNsokpcmQRqcxlckccaHcu",9.64215e+10,877933,186,264,17,1, 122
"[101]csKocIyHccIOlctcQnchmipcGxheMIavmccumcHcHcERcKcurycjcHIixcccpcxcfcecccHPPccpcEcmHccHcHcbdDckccciueicH",6.67991e+15,266307,187,765,118,3, 123
"[79]lkekIklhFtIHhcHlHHKdfmcncHPKqLKqofHKdcAORvNMohzdIdlEBRqsJzeACnttQMhotiApzkkuJaE",8.4099e+14,1.37796e+10,1375,379,80,0, 124
"[98]kccBcCccNpccccczHccccfcccHcHcHxcubczckcoOecJccKcQcuctccccOccBccccccPtnzoFcccnmeKcccdhqcHcjbzclscQG",1.38538e+14,8.25821e+09,103,340,22,2, 125
"[90]hcQcKDbooEccJoEccbQvKcQcedzccpHMcccRccptqcccnHHQDCcHEvHcAjcMzccucbFxQcedpBcFHcQcqLhciPGacc",8.44261e+13,5.18826e+06,230,279,0,0, 126
"[99]cjFyRccsctbcHcfccgcRchcctOcnkmccccccHpccLcchcccHcnccFcPcLaLcHDcMBNckcfeJKcPrccdccycDdDRDcHccqojHccG",5.18826e+06,6.68281e+14,103,153,2,1, 127
"[100]HccncpccIKfctpcHDcptqccwpeccxHhFtwAhcguhxcHcKBccQcexcccvcDadcbijJcFcQcypcuHcNcJgQNqcckKcwFcKBHkvcapG",1.98566e+19,38058.5,167,1071,282,3, 128
"[96]icccrhccJFFHHCkRHnMEAeyvOqzkRcmAtrcmdvahleycrkyDOGucGccxcctchHLgtfuJOBecyPOfMGKcLIHvsPFNxKclbPEj",4.78491e+22,2.44945e+19,473,562,52,2, 129
"[88]otpybsDuvnHeadxkccbLKyAclcJHQdNjHsRbcAoetvucAxtrKcFvyNkcNaxwQHdNBascccfcHKcNQDccmLccxOcG",1.07908e+10,1.11678e+06,435,201,0,0, 13
"[95]QcMHdHKcRRgzaQvFmCpAGoCwwFtJFxHahuhAanPIBuyKhQjbzhIoOgFGOraONHgcAIctznNNuNhHdbazeyPRtwHbuHLHcos",5.37263e+11,3.24805e+08,687,246,11,0, 130
"[98]cHIHFHCceOdfBQIMcJejccyOHlcgrLClimLgccGiccdpEosrOQsvIDvsCcCchKlyiKHlFRIPDhQcPucAoIuGGpnIKOvHFdsQdp",9.19786e+13,5.66766e+07,367,331,17,2, 131
"[99]vcccccKcHHcacaQccOccccFcmnjhKccccKOcJcccccBscccBnlccccwcccbcccccccQHvkcJyccLrcccoccccHLkBcALcHctcMG",976973,1.18018e+09,62,120,0,0, 132
"[94]KcukHcggaOPyJxDHmnMbzwotoxgOyiHKBRKlemzMzmcnmsMhwjcAxcomsaMJNwJHHcHgcLNcHqctzEfbOvPpMbQewEPdzs",2.08106e+12,1.21051e+10,640,284,7,1, 133
"[99]cRBcHgxeNycohLMoveceuciPkOQwbddzvAtscQkccKzsbchnHcafDcKcrdsljcQccElPdceCcaczrdkIKcKccHOlBcHLcHCcLMN",3.08347e+06,51744.3,341,150,20,0, 134
"[106]ccncnccHCCOEFHygJQgKJPyCAEqoBesoioBkofFhsJIeKkRtFnOCnakrlqIsByMyNrrCHsLHntwfshPiOcxcJiKcbhebQAiHHbHcRzHcRj",2.32963e+19,5.45672e+07,535,620,232,0, 135
"[99]cNccQAxcvcFcwblFnQcpIccacPccwoacRnccFcdccsyhEpcugojvxdacdgcckyFchKIActrnHcDccLaEOEdcDcccicRcoHMvcPc",2.73803e+07,4.22747e+06,184,149,0,0, 136
"[86]FjoisEKjpaHBeDhLenFHLdbNPyHHnuKJHHnyofiPJeyDEndQHlJMuhDccrAmHdOvcnLHbpHKPpwrHlfFMoxEth",2.55402e+12,9.14863e+09,755,285,6,1, 137
"[102]OBichccchIDcxnHxcHcOcILHrHOLcDccNROCFlDbccgPnRcmghvcOcFFcFcLQABzrvycIPveKcdfccQcacAeyHcgceaDHyynrMfDxH",1.51745e+11,1.71555e+09,241,274,50,0, 138
"[93]imvFjNQrcDcedcKIgHicclosccpecicIMvzsRhLoGceuceuHOaHFPjLrccufchfcoNDcLoLHcctkcccLodccKLBcacbAH",4.30257e+09,1.61321e+13,254,205,12,0, 139
"[100]RceHccHcHbcmcictDcPnNlcoHcycLwOcclMGccPcccHHvaccccOtdcEcFHQHcBNwicNcrxahMHdPcyAhQdIcvJczcHjcdcLcwccL",1.9245e+09,1.37059e+06,198,186,0,0, 14
"[99]bccccNcccccccrBcJccljKiBcccFcLRcccccccxjFcHccccFpecCcceccHcccccHscccBpEcucNcccyccccLyacccecocJcHMcG",2.43128e+08,4.93593e+07,87,436,268,0, 140
"[93]HrMCFAjLJMCpwxtOwfKMeMtbaxxKOPrPvPEhukcPcBavFbPtHAHcsFQJLHFKyLzHubjaMKsRFPGMtrtwHBHHNkRJotoyp",1.79677e+17,1.6866e+08,894,426,38,1, 141
"[85]xIONJsuvzOIfEhFysQHxDGQrpuGaeuCmrJpvwBOjHdHNcJcHKHjuHHHHHHHIOGLOAHtJiLyMcIEfvlfmJJPdB",1.26404e+22,5.8253e+16,865,499,2,1, 142
"[97]nhccvcOmIicFcMNHhzAqccfeQLkkcHenckRceAuBccFEjqMwHuhQGQnPwrGeBxHDccHcocKcjcacjQtwcabdpcfcOcfzHcaNd",1.53523e+08,3.44461e+06,333,188,24,0, 143
"[89]fvKgpNLpgvbOGomtnovJEPHbDeOzQNskPqrnwpsBrDKNgGHLDvmQJBQtPRBcrEDNRetwHApDHpQHPbOgKCRgGafuC",3.00079e+13,1.6866e+08,938,270,0,0, 144
"[104]wnuwedacewcCFGtaQccMMNHqccOHycFcivcfgdOtoHgfHFQccccciHcJHHaQbckccFpcBkeQccbccqwkcfovxNcEHpccFExftwtacccH",7.58462e+11,2.05659e+07,263,252,14,0, 145
"[86]HxMNHKJrnnHbOJpCrxHHKevhJoINfHhJPxylANlpDaHmlrCfiHsKtascNOMAgNlHtHOGHjMDbHHxMeBHLHithg",1.3891e+16,7.58462e+11,2033,758,98,3, 146
"[96]wciccJcPPcccecHccjlHcnEeciHKcQRcunccccPcjacacDcccHiccsNgcjccNHcLcrHCccFcrqcLAhcQpnbqccncHcyckccG",5.45672e+07,46708.1,122,155,0,0, 147
"[102]cMscdzDHccsEQOcfFrcwcHlEhKJhQecjpcOKcjcchaeccHzncvcovjfqcfcmoADccHFnmRPccNxcHOcHcjcvhHztNCwmaHctcqacnx",1.50529e+11,295021,192,473,16,3, 148
"[94]dQHzQHBciApcgjDcHNNnPcwDfNHcelejccJHQfFzdDcHcbdczcfKarRqJhpcMNBoccGlOuagcsLihtQucfNcsAuPmHacKi",8.34732e+17,8.67522e+06,270,593,190,2, 149
"[102]eFuccciccccHlbHHxcdhccncicmcotAxcQLQcccGctccHcFqccHJJcpfccOcdcIFcDcjzBcKnmqbccckcccdRncvfzcycmjccfJcbx",1.86846e+08,35426.5,183,198,12,1, 15
"[102]cGDcvbIeHcOQcOcjcDccccacnccrclsPPcpccccccFccKcOwcBcdaCccIopQcncHAuHcecgccexckAHckOcczcckqcccccLBccccRG",1.46688e+07,4.82662e+09,80,295,2,3, 150
"[100]CccnExcQHKccAtPbckccqccncDcboscgkccmcbjcHlfcwdfxcQccBwcubDfccdHHcHxBcagcAwcqaGcbucccccyufeLgvycJcdwj",1.96925e+09,4.27672e+07,169,380,0,3, 151
"[97]vrBLyspcIcfEAscmcDoJAvIucGQwbvvKaicIDRCloBccphuLvAcmHxuvQxxzlhhEcfecFaIgdCbQPssaywAOMQsHHHHycKcRL",9.58189e+10,1.00184e+09,519,268,48,0, 152
"[102]cxbHdnyfmNfgryofbhoBpQhQmgMADcNtxJJeodAFydpceMoNchBsFEHlxHOcQJKcgDHbceHfHAIolHxoexwgBPKzMjHHNbzrfQiFoH",1.65663e+18,909968,379,380,15,0, 153
"[100]cNcxLKceccIpcCHcroNacccxvcPyLcNcactIvcccQcGQJxjcwCcwPCcLeixccceHHrNmkuHQccfvPCjcHMjcHOgacoOyctmahhcn",8.47546e+12,7.99764e+08,254,267,8,0, 154
"[104]HLcpJKwgJcjjMQHhhEpmGccydzcAcwccbPHjJyjyNeCcQeFcjcjcHgHMDLLceHHCGgMduBOcPulccwecryCkixyjkRbroGcNqxubFntG",3.85033e+08,1.44452e+07,361,172,0,0, 155
"[101]fcHeCcvcHpJfJFNxcKccRxLmzBhicHugFrOvccacMmcwocwawJfldBHyADccwHawcccccCEcccccnjxOaccwHcPcNEzccAhcHcAaG",5.21617e+10,5.09674e+08,259,241,0,2, 156
"[99]oxMsjsivkausapgkcJPHaHcBHKEofbcNIMPNCcHJpOcHcNkKHeHcHoEdOGcLuJHrsHQpFmDqvIAhpglbuNJbpyaHOlOpelHLyxH",5.51233e+13,1.77759e+09,456,331,22,2, 157
"[101]cHeFyOscyjvNaiDcmAMHlNHnElLJcOMPnczCcAMcmacchKhbQcgcOocdjctOcQcmnccjcjexKcxctccHzcLHJgFvQscdHmcbHHHOG",1.52654e+10,6.34339e+07,259,286,57,1, 158
"[96]cNoGInbeocGcetcHMEcpkkfuccweswswjeHAjcDcQsPedwHxMFNcxQolIxHMacvuQHEcpdcsficJnccmmBROqpFQcccIgoHt",1.35269e+11,2.28696e+06,433,240,17,0, 159
"[94]bcIjgaKcKMfxaMsHLDHHJDdHusyclmJONMbHvHlpiMOlEPDAJwvrLHwjhHLHMfiNFlneaxfkKsOfuztjEHcIhfLajraHbc",1.1554e+22,3.63043e+07,577,474,32,0, 16
"[92]vcNwHyctgobHtwRccuzQAfrcPFcsHpccdAftJjfHMchvsKHjnacObGfHsHphNxidcwMxcjcuucycpbcNLccNqcfAPhQc",1.12883e+14,9.14863e+09,234,316,0,1, 160
"[72]cHwcAgczoMdAieoJaHolKQtxnEDyIFRdFKxHIKefukoMClpLhIurHHQKcHKFcHDRavsyvomv",9.47093e+13,2.70632e+10,1211,280,0,0, 161
"[89]KHMyvbnqgLuzAGIvNiJAFqglbFJKMgmEauIzOJBvRNkLxNOkRtyPMatbnKJBPqHRpRhHHofmDuOHRNzgGRuoepwHE",1.35795e+10,1.06532e+09,3239,203,0,0, 162
"[93]QgJaDcMijmJuDaoyHQEKzKcKLwrlPNucHwccQBCnoPCBPwIiQxHccccxcRFcyHKcmNHyRCciJKMdHfpmQKcHFzcxEwmrg",1.89484e+13,4.04351e+11,370,269,3,0, 163
"[102]gLyufcrycOaoccrCcoFcHQcufcHgiwpccccccaccaccjccciyOBocaCLcgctpFJMLHLRqccQeHROcChOehscHicHKwHOtdutiDrpHG",6.84033e+08,700853,205,187,10,0, 164
"[89]nwIHyvICbxjPAtNKsIEcHtHNnNAjpngrHPHmjINHdrHocNHzLMnPlKOQlHBmqMiEgNkHDHgybAGoxCrpaMBBxBsdi",6.76111e+11,4.69587e+08,1019,248,11,0, 165
"[95]vJslbxQpmpiHfAqDeqaqjuHyPdGJHKcnHpNOlHHfHqcLBJoatNxHnHHqdvBerKcleLiuNBbDctlxlaqbwHfMuDoLajfHLAC",1.44837e+23,2.644e+16,1278,476,12,0, 166
"[98]pvrhbHLcHsxxLNmbvcJcccwEctcccccnIxJKQaPchztcKcccaLccHgcaHFcrqccHecoPHBicuthcMEcshcmcDccfBHlcHONQcG",5.67807e+16,362071,231,685,0,3, 167
"[90]OHMOfPHrycoHocJHhcHFHcRirowPccccebcccccDGcccAerFvczccfQjHamczccnuLulcxscrOHNsxdcNcBhccnccG",6.02702e+11,4.01648e+06,270,236,0,0, 168
"[92]ccjcOccycBbLcvHcJwcccRxvswccynctcrjcAHczctccccccccwcctOkHPIJMcHFccdANKccDcsHcccccccHcHcNsOcG",8.60812e+08,2.1842e+06,107,183,4,0, 169
"[81]cjHRaLdslcLziDHlENLDukdpQcscNcHCimBaQBaaCNRjxBaiDyJiPzjKzutDDEwIQljRcrcLJKczomwHg",1.18018e+09,2.41033e+07,1017,296,92,2, 17
"[102]vcjccnccjyOvtkHcccqcccwccccHhQcCQLicRcclMcxFcHckpDDcJLkcqccsKckAsbMqvccbcEccnccCfcxccMcBcRcpccRycHcQcG",8.46098e+08,5.7786e+10,125,366,1,3, 170
"[103]OmtNgccpheyKcohJfyPoKOgRtNpgocHHvxJLcadHicccwdfJHHeewcHjlcfydHjaHmvQFscysbHNGwxcccjBHpmcEhRmceHHKkPQtnF",1.39283e+18,1.60889e+11,337,408,0,1, 171
"[90]juccclckfsALatPckQctdwycJdsccncfxHloycnpOkHwrheHocBwccQcccdJcvacxcHOKcrccHfycqfcMcqcHiPqtG",9.2722e+19,1.42286e+11,265,449,0,1, 172
"[98]DczfKchcQcxcMMcgtcjCcJiHpcvceccnvojcKBzcOcGfrFccccccocccccccHcdocHPwwvcAcyCcpPHjkeacxcLccMkiCcjHhv",7.58462e+11,7.05395e+06,148,238,0,0, 173
"[88]qhcRArpMBcKgnLllvGpLrBzNGrwmoLdhcvJcFDlvKetFzkRkoQocljukzfHeggQkfzczecJMhgKHlKcRjzHaQHhk",1.24385e+10,4.30257e+09,685,227,0,2, 174
"[95]coLoccRPyLHuchcMbFPkLKHRBgcocuctgsLeicDheayffucKoHhcfaKDlwGLuDyNyOcpiccohyOJlyfaehjcsJcdgcdoAbD",1.87851e+12,2.96608e+09,350,283,7,2, 175
"[104]wifBcMzrwtlcstLiEryuzMKHLcHpcJzcPuHOHphpRPeFDsHMaxjQugvwlctHeHagjcvJgblAglHbzceJwcGHLAHHcHeHcjaHHwAPtsHB",1.0749e+11,2.43514e+07,460,241,20,0, 176
"[100]ltccwfcccccxcHcJcFwccccsqcfcrccncMycwccwcqccHcccfLButccacccciccHccRcDKybccccLccchcbRwccacKccsyccrleK",4.28457e+16,24694,104,890,210,3, 177
"[104]pziccccOdcHcHpAbcKcJecCcsfMvNJiNcccfHObxfclcnccACdtucQksHovFgklcxcxcricccccczQcaHHdoQcPNcCgpcvRGzMfgcRcG",6.72892e+09,77936.6,224,221,0,1, 178
"[94]fBvyHnHOQyHIEkRcdxDkReExENPapLINktdKhDMJxMizaFlPaHswhMxFINBiHnHHhKsOGAHaHopIlQMeptahNvJOleiHoA",2.66461e+14,7.99764e+08,711,321,32,0, 179
