genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[96]nIhcHICJGaBCxyngEGNcBncbyaJesnbnikcgypAiaRweBIhkcboFEaRPPGhFyekoKakBudsyHyrIMMbsHHpaddDKcRNcBcRf",2.8952e+16,4.28514e+11,2830,582,142,2, 1
"[70]aNzbpmEshfyHvfHeaEENJtfHJDJifNrAkNOdddjMBOhAaHHlpqkHrOEQgKOumNHHzjHHzQ",1.19077e+14,2.74284e+10,1706,409,45,1, 10
"[98]JKjcLnccpHEccNNFKcicpcfEjjKaJyHsNuHKcFjcspacfccccacbcmbHnccFHxcMrHLcqMHHtcMMfcHpcquccHikcariclJOpB",1.17602e+13,5.85094e+06,368,399,61,1, 100
"[104]HjcCDKQKwHHoPxMNyyuBiFovMEoEnirQhMgsLDIbQthxxojroOcCLzNiHpEalPopNnOrdBJKPHHRMGmHwHtdqdHJnkaytDvJoxrkRIkg",7.21398e+10,1.4468e+08,612,311,18,0, 101
"[96]EhexcfsHwHEzQOGMyfsdiutRRiOJzOrmgOyJbvPuoPlpyBKctNmgcLPFdzpOypJQhdvMKHromDJzHOnMnOHLNyzceJFaBtIr",216991,30486.2,595,146,2,0, 102
"[72]HlHLycufcdepDHcvcLcJziefcBKRwcHPMnczncHxaspxPpQcHmodehcgxlgRpecyddzHmgfH",7.24307e+13,1.0805e+07,614,416,42,0, 103
"[85]GacyicMoNEdkrOtMmkuFnyeGLcsBvBLFsEpLHKHwJtcazxocfkHBHELMGHyQJPcaGnDQwbcANdAjMGKOufdss",6.09629e+11,1.66628e+06,563,352,37,2, 104
"[98]kKzKrmsjcAMHrvyCcHLfhiPhtikLLHKLLlLtLNHweglEdJCuKDgHpLyiaxRsMOBJBDQcajIqpKBbmigEcbFnhceleEQuPKAsMG",2.80672e+06,71561.9,490,220,46,0, 105
"[81]JpltceHkePphgcpLrFhEbNfHNikBAchfEqexbfHKcRFpecuyzOngfActJEdaJBjPjoRuRvzkaeajeOGEK",2.5749e+33,1.00595e+15,1066,892,28,1, 106
"[95]cofscxKnBenoccHhLwuKdcNPscnucrAOJicnHRcwmHjcaANlcMpcBuHwdzMvlsgcMDchpuHfMczvxaJckApCcewPoljtxfQ",2.58408e+08,114.981,320,227,0,0, 107
"[82]cNLpccNEwMBkEwQCfnHHmPMnkaKAJnpjNQlcsQIbrjmAPrpqHsKsFcMBEJDAKBAPcJtrwHPqHKtdHNoarc",1.81177e+07,30871.4,602,462,268,2, 108
"[99]hKaHJhcjcDnJkpqLcBrfEttpncHhehgHHgefPbajpIneHaMaGkBwlHPQJQaHjHyodHQcfbcdekPsEoRaHNrMhsHEaPrxbfjBJHw",2.5945e+11,1.55073e+09,1494,418,110,0, 109
"[83]unDcHstCcccLHMcQHNcJKctldoaafgcPpJQHcMQcfPebfFKBpbOpxCcoJcHKbpsHFdpCcHepHbAKHfxBcMt",1.18637e+11,7.17537e+06,581,502,206,2, 11
"[23]BmjlcIGHoOHickdQeeIjcHj",1.63539e+07,1.41818e+06,4441,171,11,3, 110
"[99]inpHEKPHNHQsQaBfrfHDMQBAPHQaveEaDPyHggLskEEuwzycRijaqNcIRzmiOcescefJdvktcFdQgkMezRbEclclbQrHOocokyv",1.35364e+10,25702.9,433,353,91,1, 111
"[103]JdqccHEcstHEccPoFKcxccPGPxczcFKcRnEbJGxjapyabGxAcMAsNxwjckJCcncwOPccDJLcfyvQccNcHcJhcoscwcclcICpctccriG",528615,1.17806e+06,224,148,0,1, 112
"[102]cccQGHkcbwmccxcMmfcIoAnrncbKcccQccccsaoOcIcpGHcDccecccsfcEcFcHlcBcccqnnOcxcchcMcDcosuKEkRcovccccCcccjb",2.94239e+08,19898.5,107,312,93,1, 113
