"seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
87,272297962888,54681300,242.78,248,42.3567293974939,18.77,9,14.3124266131064,224.01,239,52.023206748566,0.229561815862709,0.197727272727273,0.30484693877551,0.189375,0.0519875091737706,0.250468807977737,0.247727272727273,0.316326530612245,0.19375,0.0489201469472183,1
118,3163193319.228,961632000,202,202,0,0,0,0,202,202,0,0.208872309833024,0.229545454545455,0.25765306122449,0.12625,0.050458669867442,0.208872309833024,0.229545454545455,0.25765306122449,0.12625,0.050458669867442,2
148,2482879595,1604580000,241.44,217,33.9608568499059,16.28,11,18.1108148950183,225.16,202.5,41.0342847537584,0.223497170686456,0.235227272727273,0.251275510204082,0.1825,0.0267744610211941,0.242481400742115,0.256586270871985,0.281818181818182,0.1825,0.0385162980745308,3
67,32340622710.1,4467490000,244.02,239,9.78762360113913,17.62,22,9.44284240720307,226.4,217,18.5303463910888,0.239345361781076,0.246590909090909,0.283163265306122,0.165,0.0395652200722555,0.259924675324675,0.273863636363636,0.303571428571429,0.165,0.0479860936572358,4
34,10465372221600,9148630000,343.1,336,42.0251247602088,47.04,54,37.5136123442026,296.06,274,74.9718896815616,0.275795709647495,0.254545454545455,0.349489795918367,0.248125,0.0400266607769391,0.331148214285714,0.341477272727273,0.428571428571429,0.248125,0.0687534330289542,5
197,13823323126.14,12105100000,236.03,247,17.4676931227424,11.56,16,5.0177865456974,224.47,231,13.0951876425632,0.231393947124304,0.25765306122449,0.265909090909091,0.144375,0.0519225335667089,0.242542184601113,0.262755102040816,0.280681818181818,0.154375,0.0529568778015535,6
10,44875310960,12438500000,261.38,249,43.1740148185868,23.78,24,20.1612589794478,237.6,225,43.4906236266433,0.24873948283859,0.257954545454545,0.286989795918367,0.206875,0.027495895001544,0.276129035250464,0.317602040816327,0.318181818181818,0.21,0.0456778549265821,7
42,52688392475.71,12438500000,226.12,227,1.66533279957291,0.88,0,1.66533279957291,225.24,227,3.33066559914581,0.238526820500928,0.257954545454545,0.289540816326531,0.141875,0.0521252808659067,0.239526820500928,0.257954545454545,0.289540816326531,0.141875,0.0523594177665832,8
5,2290751632964,16911300000,272.94,262,28.226293351477,12.5,13,6.80982653037046,260.44,240,31.0764193301583,0.258924443413729,0.261363636363636,0.334183673469388,0.191875,0.0491314368775077,0.271919666048237,0.276136363636364,0.338010204081633,0.1975,0.0509660887256943,9
113,18821230195920,16911300000,296.09,252,62.8553084311882,29.99,27,7.31470775184829,266.1,230,64.217040439655,0.272988868274583,0.261363636363636,0.354591836734694,0.227272727272727,0.0490728539659102,0.305489795918367,0.286363636363636,0.397959183673469,0.255625,0.0547664169255214,10
193,944304587840,1.7089e+10,262.94,261,43.7963192033026,6.32,6,1.97397205060397,256.62,253,42.1363299663165,0.269096243042672,0.261479591836735,0.320454545454545,0.196875,0.0428344399100059,0.275546846011132,0.266581632653061,0.327272727272727,0.2025,0.0435624913234191,11
35,99432341726250800,18734800000,337.08,347,28.2126413388242,38.74,38,34.5106102846968,298.34,302.5,60.1323825766403,0.316140769944341,0.2625,0.447704081632653,0.229375,0.088507525169654,0.360497448979592,0.339772727272727,0.457908163265306,0.229375,0.0810041250236472,12
26,952006486016,5.7786e+10,270.07,265,15.7725339842027,16.05,16,1.47281768022791,254.02,250,14.4438865471125,0.254606586270872,0.275,0.318877551020408,0.17125,0.0605526112714367,0.270546799628942,0.293181818181818,0.338010204081633,0.1825,0.0638783112609441,13
6,123316604736,64016600000,267.79,246,38.1367277044059,5.49,3,3.31356257971643,262.3,243,35.3034464795342,0.264481539888683,0.276136363636364,0.292091836734694,0.201875,0.035941076393272,0.269528803339518,0.279545454545455,0.299744897959184,0.20875,0.035145264974032,14
8,151634250304.9,82801400000,254.21,255,8.55793683245459,8.75,6,6.19445010644303,245.46,246,6.14376583097522,0.250540456864564,0.278977272727273,0.299744897959184,0.158125,0.0570415482780306,0.259932444341373,0.286363636363636,0.306122448979592,0.16125,0.0607702401162061,15
170,154612693000,8.7037e+10,296.89,249,73.0786064951483,8.02,3,7.1491752720651,288.87,246,77.8993983457271,0.278930287569573,0.279545454545455,0.29719387755102,0.26,0.0135183774413973,0.288530936920223,0.282954545454545,0.315051020408163,0.26,0.0209046959896556,16
17,584677684000,1.06818e+11,291.58,260,78.503835073276,9.8,11,6.35323825805678,281.78,245,81.9918177735936,0.290269318181818,0.281818181818182,0.3125,0.276136363636364,0.015246633722761,0.301691001855288,0.295454545454545,0.326530612244898,0.284090909090909,0.0168299926152714,17
14,12459745153625,1.18335e+11,295.28,286.5,21.9411886090011,15.26,16,7.9982573859636,280.02,270.5,29.581587229733,0.281995338589981,0.282954545454545,0.350765306122449,0.20375,0.0535958877823107,0.29929603432282,0.3125,0.371173469387755,0.20625,0.06097949105507,18
174,119035484680,1.18335e+11,274.68,261,44.5416341383786,2.41,4,2.26566377100229,272.27,257,45.5342816796401,0.26411038961039,0.282954545454545,0.292045454545455,0.2125,0.0335575558147591,0.266849025974026,0.288636363636364,0.296590909090909,0.2125,0.0355134396331024,19
187,12299035278800,1.18335e+11,297.51,262,45.3864428207278,8.87,12,4.92705374294401,288.64,249,49.92327851187,0.286124466604824,0.282954545454545,0.351136363636364,0.22375,0.0453286910305996,0.296449988404453,0.297727272727273,0.3625,0.224375,0.0497843273361997,20
190,88800436000,1.20582e+11,279.92,265,50.1399415373985,16.16,18,7.30672859960481,263.76,240,55.8369053583739,0.272781539888683,0.283163265306122,0.286363636363636,0.2375,0.0174626060864509,0.291428200371058,0.301136363636364,0.306122448979592,0.24,0.0243084831767155,21
38,2261937753054000,2.4233e+11,355.89,354.5,29.5497850750187,65.38,67,32.1558012737291,290.51,287.5,61.6985986121814,0.297651739332096,0.290909090909091,0.406887755102041,0.23625,0.0701619488126032,0.371473399814471,0.386363636363636,0.470663265306122,0.24875,0.0791536304055094,22
1,122493106467000,3.29472e+11,365.38,356,32.9483158166167,54.92,63,34.6490864514375,310.46,293,67.5867448602763,0.306906238404453,0.294318181818182,0.373724489795918,0.26125,0.0446915828721258,0.371857537105751,0.3875,0.454081632653061,0.26125,0.0735011087210643,23
