"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order"
1,0,4.21985e+14,4.21985e+14,NA,356,356,NA,63,63,NA,293,293,NA,21
1,1,3.29472e+11,3.29472e+11,NA,341,341,NA,82,82,NA,259,259,NA,21
1,2,1.60889e+11,1.60889e+11,NA,337,337,NA,85,85,NA,252,252,NA,21
1,3,16739100000,16739100000,NA,418,418,NA,0,0,NA,418,418,NA,21
2,0,2.3206e+20,2.3206e+20,NA,487,487,NA,79,79,NA,408,408,NA,148
2,1,1.02444e+18,1.02444e+18,NA,483,483,NA,78,78,NA,405,405,NA,148
2,2,9.69404e+14,9.69404e+14,NA,466,466,NA,129,129,NA,337,337,NA,148
2,3,1.03473e+14,1.03473e+14,NA,573,573,NA,0,0,NA,573,573,NA,148
3,0,3.31441e+17,3.31441e+17,NA,427,427,NA,76,76,NA,351,351,NA,120
3,1,1.98517e+15,1.98517e+15,NA,414,414,NA,70,70,NA,344,344,NA,120
3,2,2.31785e+16,2.31785e+16,NA,462,462,NA,94,94,NA,368,368,NA,120
3,3,8.68251e+12,8.68251e+12,NA,529,529,NA,0,0,NA,529,529,NA,120
4,0,2.60325e+20,2.60325e+20,NA,451,451,NA,42,42,NA,409,409,NA,175
4,1,3.1683e+20,3.1683e+20,NA,500,500,NA,39,39,NA,461,461,NA,175
4,2,5.27246e+18,5.27246e+18,NA,462,462,NA,41,41,NA,421,421,NA,175
4,3,5.7786e+10,5.7786e+10,NA,479,479,NA,39,39,NA,440,440,NA,175
5,0,1.19649e+13,1.19649e+13,NA,265,265,NA,3,3,NA,262,262,NA,10
5,1,16911300000,16911300000,NA,243,243,NA,13,13,NA,230,230,NA,10
5,2,47084900000,47084900000,NA,262,262,NA,22,22,NA,240,240,NA,10
5,3,32271300,32271300,NA,316,316,NA,9,9,NA,307,307,NA,10
6,0,2.69583e+11,2.69583e+11,NA,235,235,NA,6,6,NA,229,229,NA,19
6,1,2.18744e+11,2.18744e+11,NA,258,258,NA,3,3,NA,255,255,NA,19
6,2,64016600000,64016600000,NA,246,246,NA,3,3,NA,243,243,NA,19
6,3,79461400,79461400,NA,334,334,NA,11,11,NA,323,323,NA,19
7,0,1.05015e+17,1.05015e+17,NA,370,370,NA,29,29,NA,341,341,NA,132
7,1,1.88862e+16,1.88862e+16,NA,393,393,NA,27,27,NA,366,366,NA,132
7,2,1.70938e+18,1.70938e+18,NA,437,437,NA,27,27,NA,410,410,NA,132
7,3,1.71773e+14,1.71773e+14,NA,602,602,NA,20,20,NA,582,582,NA,132
8,0,5.37263e+11,5.37263e+11,NA,240,240,NA,5,5,NA,235,235,NA,12
