"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order","category"
13,1,3.15135e+16,3.15135e+16,NA,510,510,NA,139,139,NA,371,371,NA,129,"Pattern cycling"
13,2,2.84463e+16,2.84463e+16,NA,483,483,NA,113,113,NA,370,370,NA,129,"Pattern cycling"
13,3,8.79545e+14,8.79545e+14,NA,611,611,NA,0,0,NA,611,611,NA,129,"Pattern cycling"
14,0,5.33107e+13,5.33107e+13,NA,291,291,NA,16,16,NA,275,275,NA,26,"Pattern cycling"
14,1,1.18335e+11,1.18335e+11,NA,275,275,NA,26,26,NA,249,249,NA,26,"Pattern cycling"
14,2,6.747e+11,6.747e+11,NA,282,282,NA,16,16,NA,266,266,NA,26,"Pattern cycling"
14,3,94087500,94087500,NA,330,330,NA,4,4,NA,326,326,NA,26,"Pattern cycling"
15,0,8.37731e+15,8.37731e+15,NA,331,331,NA,12,12,NA,319,319,NA,114,"Pattern cycling"
15,1,1.2539e+16,1.2539e+16,NA,381,381,NA,19,19,NA,362,362,NA,114,"Pattern cycling"
15,2,2.19921e+15,2.19921e+15,NA,374,374,NA,29,29,NA,345,345,NA,114,"Pattern cycling"
15,3,3.5262e+12,3.5262e+12,NA,533,533,NA,20,20,NA,513,513,NA,114,"Pattern cycling"
16,0,5.16802e+21,5.16802e+21,NA,471,471,NA,36,36,NA,435,435,NA,185,"Pattern cycling"
16,1,1.47191e+21,1.47191e+21,NA,502,502,NA,26,26,NA,476,476,NA,185,"Pattern cycling"
16,2,9.29711e+21,9.29711e+21,NA,542,542,NA,48,48,NA,494,494,NA,185,"Pattern cycling"
16,3,2.36639e+20,2.36639e+20,NA,907,907,NA,74,74,NA,833,833,NA,185,"Pattern cycling"
17,0,1.69568e+12,1.69568e+12,NA,256,256,NA,11,11,NA,245,245,NA,20,"Pattern cycling"
17,1,1.06818e+11,1.06818e+11,NA,250,250,NA,2,2,NA,248,248,NA,20,"Pattern cycling"
17,2,64016600000,64016600000,NA,260,260,NA,17,17,NA,243,243,NA,20,"Pattern cycling"
17,3,1.99486e+11,1.99486e+11,NA,464,464,NA,2,2,NA,462,462,NA,20,"Pattern cycling"
18,0,9.43423e+14,9.43423e+14,NA,341,341,NA,41,41,NA,300,300,NA,90,"Pattern cycling"
18,1,1.318e+15,1.318e+15,NA,351,351,NA,11,11,NA,340,340,NA,90,"Pattern cycling"
18,2,5.80969e+14,5.80969e+14,NA,366,366,NA,34,34,NA,332,332,NA,90,"Pattern cycling"
18,3,6667660,6667660,NA,280,280,NA,1,1,NA,279,279,NA,90,"Pattern cycling"
19,0,1.48827e+16,1.48827e+16,NA,332,332,NA,8,8,NA,324,324,NA,81,"Pattern cycling"
19,1,5.80969e+14,5.80969e+14,NA,340,340,NA,8,8,NA,332,332,NA,81,"Pattern cycling"
19,2,1.70023e+14,1.70023e+14,NA,328,328,NA,8,8,NA,320,320,NA,81,"Pattern cycling"
19,3,206992000,206992000,NA,346,346,NA,6,6,NA,340,340,NA,81,"Pattern cycling"
20,0,1.6311e+22,1.6311e+22,NA,521,521,NA,76,76,NA,445,445,NA,117,"Set pattern"
20,1,1.3891e+16,1.3891e+16,NA,493,493,NA,130,130,NA,363,363,NA,117,"Set pattern"
20,2,3.65977e+13,3.65977e+13,NA,465,465,NA,160,160,NA,305,305,NA,117,"Set pattern"
20,3,2.03391e+14,2.03391e+14,NA,585,585,NA,0,0,NA,585,585,NA,117,"Set pattern"
21,0,5.9804e+13,5.9804e+13,NA,284,284,NA,8,8,NA,276,276,NA,44,"Pattern cycling"
21,1,1.61321e+13,1.61321e+13,NA,304,304,NA,7,7,NA,297,297,NA,44,"Pattern cycling"
21,2,6.41886e+12,6.41886e+12,NA,304,304,NA,16,16,NA,288,288,NA,44,"Pattern cycling"
21,3,5031300,5031300,NA,274,274,NA,0,0,NA,274,274,NA,44,"Pattern cycling"
22,0,2.33869e+18,2.33869e+18,NA,386,386,NA,18,18,NA,368,368,NA,156,"Pattern cycling"
22,1,9.24735e+17,9.24735e+17,NA,416,416,NA,12,12,NA,404,404,NA,156,"Pattern cycling"
22,2,1.13795e+20,1.13795e+20,NA,485,485,NA,34,34,NA,451,451,NA,156,"Pattern cycling"
22,3,1.3981e+17,1.3981e+17,NA,713,713,NA,12,12,NA,701,701,NA,156,"Pattern cycling"
23,0,8.31251e+17,8.31251e+17,NA,470,470,NA,111,111,NA,359,359,NA,80,"Set pattern"
23,1,1.97985e+13,1.97985e+13,NA,449,449,NA,150,150,NA,299,299,NA,80,"Set pattern"
23,2,7.13007e+14,7.13007e+14,NA,457,457,NA,123,123,NA,334,334,NA,80,"Set pattern"
23,3,2.39278e+13,2.39278e+13,NA,560,560,NA,13,13,NA,547,547,NA,80,"Set pattern"
24,0,5.93414e+15,5.93414e+15,NA,336,336,NA,20,20,NA,316,316,NA,133,"Pattern cycling"
24,1,4.5157e+17,4.5157e+17,NA,409,409,NA,12,12,NA,397,397,NA,133,"Pattern cycling"
24,2,1.19292e+17,1.19292e+17,NA,410,410,NA,26,26,NA,384,384,NA,133,"Pattern cycling"
24,3,4.73383e+14,4.73383e+14,NA,615,615,NA,15,15,NA,600,600,NA,133,"Pattern cycling"
25,0,4.67901e+17,4.67901e+17,NA,411,411,NA,57,57,NA,354,354,NA,142,"Pattern cycling"
25,1,2.20512e+17,2.20512e+17,NA,404,404,NA,14,14,NA,390,390,NA,142,"Pattern cycling"
25,2,7.55513e+19,7.55513e+19,NA,479,479,NA,32,32,NA,447,447,NA,142,"Pattern cycling"
25,3,3.03633e+15,3.03633e+15,NA,647,647,NA,14,14,NA,633,633,NA,142,"Pattern cycling"
26,0,3.01247e+12,3.01247e+12,NA,265,265,NA,15,15,NA,250,250,NA,11,"Pattern cycling"
26,1,34631400000,34631400000,NA,251,251,NA,14,14,NA,237,237,NA,11,"Pattern cycling"
26,2,5.7786e+10,5.7786e+10,NA,258,258,NA,16,16,NA,242,242,NA,11,"Pattern cycling"
26,3,5031300,5031300,NA,292,292,NA,18,18,NA,274,274,NA,11,"Pattern cycling"
27,0,1.47104e+19,1.47104e+19,NA,426,426,NA,42,42,NA,384,384,NA,43,"Set pattern"
27,1,2.82941e+12,2.82941e+12,NA,378,378,NA,98,98,NA,280,280,NA,43,"Set pattern"
27,2,1.4562e+13,1.4562e+13,NA,390,390,NA,94,94,NA,296,296,NA,43,"Set pattern"
27,3,1.99486e+11,1.99486e+11,NA,465,465,NA,3,3,NA,462,462,NA,43,"Set pattern"
28,0,1.48827e+16,1.48827e+16,NA,350,350,NA,26,26,NA,324,324,NA,47,"Set pattern"
28,1,1.07105e+13,1.07105e+13,NA,335,335,NA,42,42,NA,293,293,NA,47,"Set pattern"
28,2,1.4562e+13,1.4562e+13,NA,336,336,NA,40,40,NA,296,296,NA,47,"Set pattern"
28,3,84064900,84064900,NA,350,350,NA,26,26,NA,324,324,NA,47,"Set pattern"
29,0,1.85121e+19,1.85121e+19,NA,387,387,NA,1,1,NA,386,386,NA,159,"Pattern cycling"
29,1,1.25727e+18,1.25727e+18,NA,410,410,NA,3,3,NA,407,407,NA,159,"Pattern cycling"
29,2,3.87795e+18,3.87795e+18,NA,420,420,NA,2,2,NA,418,418,NA,159,"Pattern cycling"
29,3,1.45071e+14,1.45071e+14,NA,585,585,NA,6,6,NA,579,579,NA,159,"Pattern cycling"
30,0,5.33107e+13,5.33107e+13,NA,284,284,NA,9,9,NA,275,275,NA,38,"Set pattern"
30,1,1.07105e+13,1.07105e+13,NA,293,293,NA,0,0,NA,293,293,NA,38,"Set pattern"
