"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order","category"
62,2,6.13954e+17,6.13954e+17,NA,491,491,NA,91,91,NA,400,400,NA,146,"Pattern cycling"
62,3,1.3891e+16,1.3891e+16,NA,664,664,NA,4,4,NA,660,660,NA,146,"Pattern cycling"
63,0,1.18724e+15,1.18724e+15,NA,348,348,NA,46,46,NA,302,302,NA,68,"Pattern cycling"
63,1,1.01896e+14,1.01896e+14,NA,353,353,NA,38,38,NA,315,315,NA,68,"Pattern cycling"
63,2,9.19786e+13,9.19786e+13,NA,365,365,NA,51,51,NA,314,314,NA,68,"Pattern cycling"
63,3,1.08763e+13,1.08763e+13,NA,549,549,NA,16,16,NA,533,533,NA,68,"Pattern cycling"
64,0,1.1554e+22,1.1554e+22,NA,492,492,NA,50,50,NA,442,442,NA,179,"Pattern cycling"
64,1,1.32509e+19,1.32509e+19,NA,446,446,NA,16,16,NA,430,430,NA,179,"Pattern cycling"
64,2,1.08261e+21,1.08261e+21,NA,499,499,NA,26,26,NA,473,473,NA,179,"Pattern cycling"
64,3,2.56432e+15,2.56432e+15,NA,630,630,NA,0,0,NA,630,630,NA,179,"Pattern cycling"
65,0,3.74709e+15,3.74709e+15,NA,335,335,NA,23,23,NA,312,312,NA,89,"Pattern cycling"
65,1,1.318e+15,1.318e+15,NA,352,352,NA,12,12,NA,340,340,NA,89,"Pattern cycling"
65,2,1.61321e+13,1.61321e+13,NA,311,311,NA,14,14,NA,297,297,NA,89,"Pattern cycling"
65,3,95929100000,95929100000,NA,449,449,NA,0,0,NA,449,449,NA,89,"Pattern cycling"
66,0,4.1872e+16,4.1872e+16,NA,364,364,NA,31,31,NA,333,333,NA,126,"Pattern cycling"
66,1,1.19292e+17,1.19292e+17,NA,432,432,NA,48,48,NA,384,384,NA,126,"Pattern cycling"
66,2,3.6696e+15,3.6696e+15,NA,403,403,NA,53,53,NA,350,350,NA,126,"Pattern cycling"
66,3,2.67805e+13,2.67805e+13,NA,554,554,NA,5,5,NA,549,549,NA,126,"Pattern cycling"
67,0,1.20582e+11,1.20582e+11,NA,238,238,NA,16,16,NA,222,222,NA,4,"Pattern cycling"
67,1,3285890000,3285890000,NA,241,241,NA,27,27,NA,214,214,NA,4,"Pattern cycling"
67,2,4467490000,4467490000,NA,239,239,NA,22,22,NA,217,217,NA,4,"Pattern cycling"
67,3,2864790,2864790,NA,264,264,NA,0,0,NA,264,264,NA,4,"Pattern cycling"
68,0,8.21624e+20,8.21624e+20,NA,429,429,NA,10,10,NA,419,419,NA,106,"Pattern cycling"
68,1,1.18972e+15,1.18972e+15,NA,354,354,NA,15,15,NA,339,339,NA,106,"Pattern cycling"
68,2,6.12309e+15,6.12309e+15,NA,390,390,NA,35,35,NA,355,355,NA,106,"Pattern cycling"
68,3,307018000,307018000,NA,514,514,NA,167,167,NA,347,347,NA,106,"Pattern cycling"
69,0,2.61338e+19,2.61338e+19,NA,490,490,NA,101,101,NA,389,389,NA,176,"Pattern cycling"
69,1,8.82125e+20,8.82125e+20,NA,566,566,NA,95,95,NA,471,471,NA,176,"Pattern cycling"
69,2,2.58158e+20,2.58158e+20,NA,614,614,NA,155,155,NA,459,459,NA,176,"Pattern cycling"
69,3,9.12637e+11,9.12637e+11,NA,501,501,NA,12,12,NA,489,489,NA,176,"Pattern cycling"
70,0,1.51745e+11,1.51745e+11,NA,266,266,NA,42,42,NA,224,224,NA,22,"Pattern cycling"
70,1,4.04351e+11,4.04351e+11,NA,301,301,NA,40,40,NA,261,261,NA,22,"Pattern cycling"
70,2,1.4523e+11,1.4523e+11,NA,281,281,NA,30,30,NA,251,251,NA,22,"Pattern cycling"
70,3,1.51505e+12,1.51505e+12,NA,540,540,NA,42,42,NA,498,498,NA,22,"Pattern cycling"
71,0,2.06062e+21,2.06062e+21,NA,450,450,NA,23,23,NA,427,427,NA,183,"Pattern cycling"
71,1,3.88837e+20,3.88837e+20,NA,499,499,NA,36,36,NA,463,463,NA,183,"Pattern cycling"
71,2,3.33922e+21,3.33922e+21,NA,524,524,NA,40,40,NA,484,484,NA,183,"Pattern cycling"
71,3,68422400000,68422400000,NA,494,494,NA,51,51,NA,443,443,NA,183,"Pattern cycling"
72,0,1.33703e+14,1.33703e+14,NA,307,307,NA,24,24,NA,283,283,NA,72,"Pattern cycling"
72,1,1.70023e+14,1.70023e+14,NA,350,350,NA,30,30,NA,320,320,NA,72,"Pattern cycling"
72,2,5.25833e+16,5.25833e+16,NA,426,426,NA,50,50,NA,376,376,NA,72,"Pattern cycling"
72,3,2.02081e+13,2.02081e+13,NA,556,556,NA,12,12,NA,544,544,NA,72,"Pattern cycling"
73,0,3.34025e+15,3.34025e+15,NA,328,328,NA,17,17,NA,311,311,NA,122,"Pattern cycling"
73,1,5.25833e+16,5.25833e+16,NA,433,433,NA,57,57,NA,376,376,NA,122,"Pattern cycling"
73,2,3.86756e+16,3.86756e+16,NA,429,429,NA,56,56,NA,373,373,NA,122,"Pattern cycling"
73,3,3.99794e+14,3.99794e+14,NA,609,609,NA,12,12,NA,597,597,NA,122,"Pattern cycling"
74,0,9.36125e+16,9.36125e+16,NA,349,349,NA,9,9,NA,340,340,NA,108,"Pattern cycling"
74,1,3.31245e+15,3.31245e+15,NA,357,357,NA,8,8,NA,349,349,NA,108,"Pattern cycling"
74,2,4.5036e+15,4.5036e+15,NA,377,377,NA,25,25,NA,352,352,NA,108,"Pattern cycling"
74,3,31101200000,31101200000,NA,435,435,NA,6,6,NA,429,429,NA,108,"Pattern cycling"
75,0,9.50777e+12,9.50777e+12,NA,260,260,NA,0,0,NA,260,260,NA,39,"Pattern cycling"
75,1,4.06527e+15,4.06527e+15,NA,351,351,NA,0,0,NA,351,351,NA,39,"Pattern cycling"
75,2,1.53064e+12,1.53064e+12,NA,274,274,NA,0,0,NA,274,274,NA,39,"Pattern cycling"
75,3,539202000,539202000,NA,357,357,NA,0,0,NA,357,357,NA,39,"Pattern cycling"
76,0,3.32731e+16,3.32731e+16,NA,344,344,NA,13,13,NA,331,331,NA,86,"Pattern cycling"
76,1,3.1429e+14,3.1429e+14,NA,340,340,NA,14,14,NA,326,326,NA,86,"Pattern cycling"
76,2,6.43611e+14,6.43611e+14,NA,336,336,NA,3,3,NA,333,333,NA,86,"Pattern cycling"
76,3,10667500000,10667500000,NA,444,444,NA,34,34,NA,410,410,NA,86,"Pattern cycling"
77,0,7.32416e+20,7.32416e+20,NA,515,515,NA,97,97,NA,418,418,NA,101,"Pattern cycling"
77,1,2.99005e+15,2.99005e+15,NA,478,478,NA,130,130,NA,348,348,NA,101,"Pattern cycling"
77,2,1.79195e+15,1.79195e+15,NA,453,453,NA,110,110,NA,343,343,NA,101,"Pattern cycling"
77,3,5.60516e+14,5.60516e+14,NA,603,603,NA,0,0,NA,603,603,NA,101,"Pattern cycling"
78,0,1.85841e+18,1.85841e+18,NA,367,367,NA,1,1,NA,366,366,NA,151,"Pattern cycling"
78,1,3.32135e+17,3.32135e+17,NA,412,412,NA,18,18,NA,394,394,NA,151,"Pattern cycling"
78,2,9.2722e+19,9.2722e+19,NA,451,451,NA,2,2,NA,449,449,NA,151,"Pattern cycling"
78,3,21757400,21757400,NA,308,308,NA,8,8,NA,300,300,NA,151,"Pattern cycling"
79,0,3.28877e+19,3.28877e+19,NA,410,410,NA,19,19,NA,391,391,NA,164,"Reactive meandering"
79,1,3.67946e+17,3.67946e+17,NA,410,410,NA,15,15,NA,395,395,NA,164,"Reactive meandering"
79,2,2.99005e+15,2.99005e+15,NA,364,364,NA,16,16,NA,348,348,NA,164,"Reactive meandering"
79,3,4.88926e+19,4.88926e+19,NA,830,830,NA,25,25,NA,805,805,NA,164,"Reactive meandering"
80,0,3.64662e+22,3.64662e+22,NA,513,513,NA,61,61,NA,452,452,NA,88,"Set pattern"
80,1,1.18972e+15,1.18972e+15,NA,469,469,NA,130,130,NA,339,339,NA,88,"Set pattern"
80,2,1.31447e+13,1.31447e+13,NA,446,446,NA,151,151,NA,295,295,NA,88,"Set pattern"
80,3,4.44577e+13,4.44577e+13,NA,562,562,NA,4,4,NA,558,558,NA,88,"Set pattern"
81,0,3.34025e+15,3.34025e+15,NA,333,333,NA,22,22,NA,311,311,NA,110,"Pattern cycling"
81,1,4.06527e+15,4.06527e+15,NA,375,375,NA,24,24,NA,351,351,NA,110,"Pattern cycling"
81,2,4.5036e+15,4.5036e+15,NA,371,371,NA,19,19,NA,352,352,NA,110,"Pattern cycling"
81,3,8.42193e+16,8.42193e+16,NA,701,701,NA,9,9,NA,692,692,NA,110,"Pattern cycling"
82,0,4.69721e+16,4.69721e+16,NA,496,496,NA,162,162,NA,334,334,NA,124,"Pattern cycling"
82,1,3.49113e+16,3.49113e+16,NA,450,450,NA,78,78,NA,372,372,NA,124,"Pattern cycling"
82,2,9.22257e+15,9.22257e+15,NA,500,500,NA,141,141,NA,359,359,NA,124,"Pattern cycling"
82,3,1.72887e+15,1.72887e+15,NA,623,623,NA,0,0,NA,623,623,NA,124,"Pattern cycling"
83,0,3.64662e+22,3.64662e+22,NA,470,470,NA,18,18,NA,452,452,NA,189,"Pattern cycling"
83,1,2.21699e+21,2.21699e+21,NA,498,498,NA,18,18,NA,480,480,NA,189,"Pattern cycling"
83,2,1.20579e+25,1.20579e+25,NA,582,582,NA,18,18,NA,564,564,NA,189,"Pattern cycling"
83,3,8.01233e+17,8.01233e+17,NA,750,750,NA,18,18,NA,732,732,NA,189,"Pattern cycling"
84,0,1.8875e+14,1.8875e+14,NA,313,313,NA,27,27,NA,286,286,NA,51,"Pattern cycling"
84,1,2.19332e+13,2.19332e+13,NA,322,322,NA,22,22,NA,300,300,NA,51,"Pattern cycling"
84,2,1.18653e+13,1.18653e+13,NA,313,313,NA,19,19,NA,294,294,NA,51,"Pattern cycling"
84,3,1861410000,1861410000,NA,381,381,NA,2,2,NA,379,379,NA,51,"Pattern cycling"
85,0,1.16894e+19,1.16894e+19,NA,382,382,NA,0,0,NA,382,382,NA,160,"Pattern cycling"
85,1,9.72008e+16,9.72008e+16,NA,382,382,NA,0,0,NA,382,382,NA,160,"Pattern cycling"
85,2,4.08715e+19,4.08715e+19,NA,461,461,NA,20,20,NA,441,441,NA,160,"Pattern cycling"
85,3,2204040000,2204040000,NA,382,382,NA,0,0,NA,382,382,NA,160,"Pattern cycling"
86,0,7.49678e+14,7.49678e+14,NA,313,313,NA,15,15,NA,298,298,NA,82,"Pattern cycling"
86,1,3.6696e+15,3.6696e+15,NA,371,371,NA,21,21,NA,350,350,NA,82,"Pattern cycling"
86,2,1.78715e+13,1.78715e+13,NA,384,384,NA,86,86,NA,298,298,NA,82,"Pattern cycling"
86,3,5.81606e+11,5.81606e+11,NA,500,500,NA,19,19,NA,481,481,NA,82,"Pattern cycling"
87,0,8.50843e+11,8.50843e+11,NA,248,248,NA,9,9,NA,239,239,NA,1,"Pattern cycling"
87,1,44555200,44555200,NA,192,192,NA,20,20,NA,172,172,NA,1,"Pattern cycling"
87,2,54681300,54681300,NA,218,218,NA,44,44,NA,174,174,NA,1,"Pattern cycling"
87,3,25762200,25762200,NA,310,310,NA,7,7,NA,303,303,NA,1,"Pattern cycling"
88,0,2.93169e+19,2.93169e+19,NA,430,430,NA,40,40,NA,390,390,NA,157,"Pattern cycling"
88,1,1.39283e+18,1.39283e+18,NA,442,442,NA,34,34,NA,408,408,NA,157,"Pattern cycling"
88,2,2.57467e+18,2.57467e+18,NA,442,442,NA,28,28,NA,414,414,NA,157,"Pattern cycling"
88,3,3.2903e+10,3.2903e+10,NA,464,464,NA,34,34,NA,430,430,NA,157,"Pattern cycling"
89,0,7.52595e+13,7.52595e+13,NA,299,299,NA,21,21,NA,278,278,NA,64,"Pattern cycling"
89,1,1.70023e+14,1.70023e+14,NA,340,340,NA,20,20,NA,320,320,NA,64,"Pattern cycling"
89,2,5.51233e+13,5.51233e+13,NA,343,343,NA,34,34,NA,309,309,NA,64,"Pattern cycling"
89,3,2.37736e+12,2.37736e+12,NA,523,523,NA,17,17,NA,506,506,NA,64,"Pattern cycling"
90,0,2.68538e+12,2.68538e+12,NA,257,257,NA,8,8,NA,249,249,NA,33,"Pattern cycling"
90,1,2.08106e+12,2.08106e+12,NA,346,346,NA,69,69,NA,277,277,NA,33,"Pattern cycling"
90,2,1.70023e+14,1.70023e+14,NA,349,349,NA,29,29,NA,320,320,NA,33,"Pattern cycling"
90,3,23468400000,23468400000,NA,450,450,NA,26,26,NA,424,424,NA,33,"Pattern cycling"
91,0,4.23626e+13,4.23626e+13,NA,273,273,NA,0,0,NA,273,273,NA,27,"Pattern cycling"
91,1,6.09032e+11,6.09032e+11,NA,296,296,NA,31,31,NA,265,265,NA,27,"Pattern cycling"
91,2,4.96249e+11,4.96249e+11,NA,294,294,NA,31,31,NA,263,263,NA,27,"Pattern cycling"
91,3,45244800,45244800,NA,320,320,NA,7,7,NA,313,313,NA,27,"Pattern cycling"
92,0,1.67604e+15,1.67604e+15,NA,327,327,NA,22,22,NA,305,305,NA,77,"Pattern cycling"
92,1,7.49456e+13,7.49456e+13,NA,381,381,NA,69,69,NA,312,312,NA,77,"Pattern cycling"
92,2,5.24424e+14,5.24424e+14,NA,419,419,NA,88,88,NA,331,331,NA,77,"Pattern cycling"
92,3,3144.79,3144.79,NA,143,143,NA,0,0,NA,143,143,NA,77,"Pattern cycling"
93,0,3.68935e+19,3.68935e+19,NA,399,399,NA,7,7,NA,392,392,NA,166,"Pattern cycling"
93,1,1.62625e+19,1.62625e+19,NA,542,542,NA,110,110,NA,432,432,NA,166,"Pattern cycling"
93,2,3.1683e+20,3.1683e+20,NA,484,484,NA,23,23,NA,461,461,NA,166,"Pattern cycling"
93,3,5.1392e+18,5.1392e+18,NA,779,779,NA,14,14,NA,765,765,NA,166,"Pattern cycling"
94,0,1.31132e+19,1.31132e+19,NA,412,412,NA,29,29,NA,383,383,NA,190,"Pattern cycling"
94,1,7.20701e+22,7.20701e+22,NA,527,527,NA,13,13,NA,514,514,NA,190,"Pattern cycling"
94,2,1.54301e+18,1.54301e+18,NA,460,460,NA,51,51,NA,409,409,NA,190,"Pattern cycling"
94,3,4.77326e+24,4.77326e+24,NA,1021,1021,NA,12,12,NA,1009,1009,NA,190,"Pattern cycling"
95,0,2.12564e+13,2.12564e+13,NA,282,282,NA,15,15,NA,267,267,NA,53,"Pattern cycling"
95,1,4.05438e+13,4.05438e+13,NA,358,358,NA,52,52,NA,306,306,NA,53,"Pattern cycling"
95,2,1.61321e+13,1.61321e+13,NA,349,349,NA,52,52,NA,297,297,NA,53,"Pattern cycling"
95,3,81016700000,81016700000,NA,459,459,NA,13,13,NA,446,446,NA,53,"Pattern cycling"
96,0,4.21985e+14,4.21985e+14,NA,293,293,NA,0,0,NA,293,293,NA,79,"Pattern cycling"
96,1,1.07393e+15,1.07393e+15,NA,346,346,NA,8,8,NA,338,338,NA,79,"Pattern cycling"
96,2,2.56089e+14,2.56089e+14,NA,354,354,NA,30,30,NA,324,324,NA,79,"Pattern cycling"
96,3,2043340,2043340,NA,286,286,NA,28,28,NA,258,258,NA,79,"Pattern cycling"
97,0,1.67604e+15,1.67604e+15,NA,357,357,NA,52,52,NA,305,305,NA,70,"Pattern cycling"
97,1,1.70023e+14,1.70023e+14,NA,342,342,NA,22,22,NA,320,320,NA,70,"Pattern cycling"
97,2,4.49153e+13,4.49153e+13,NA,365,365,NA,58,58,NA,307,307,NA,70,"Pattern cycling"
97,3,1.79392e+12,1.79392e+12,NA,507,507,NA,6,6,NA,501,501,NA,70,"Pattern cycling"
98,0,2.07669e+19,2.07669e+19,NA,388,388,NA,1,1,NA,387,387,NA,155,"Pattern cycling"
98,1,2.56777e+16,2.56777e+16,NA,370,370,NA,1,1,NA,369,369,NA,155,"Pattern cycling"
98,2,2.57467e+18,2.57467e+18,NA,416,416,NA,2,2,NA,414,414,NA,155,"Pattern cycling"
98,3,3.97219e+13,3.97219e+13,NA,559,559,NA,3,3,NA,556,556,NA,155,"Pattern cycling"
99,0,4.75224e+13,4.75224e+13,NA,292,292,NA,18,18,NA,274,274,NA,95,"Pattern cycling"
99,1,1.2539e+16,1.2539e+16,NA,408,408,NA,46,46,NA,362,362,NA,95,"Pattern cycling"
99,2,2.99005e+15,2.99005e+15,NA,401,401,NA,53,53,NA,348,348,NA,95,"Pattern cycling"
99,3,1.43208e+12,1.43208e+12,NA,499,499,NA,2,2,NA,497,497,NA,95,"Pattern cycling"
100,0,1.47676e+18,1.47676e+18,NA,399,399,NA,35,35,NA,364,364,NA,102,"Pattern cycling"
100,1,1.79195e+15,1.79195e+15,NA,344,344,NA,1,1,NA,343,343,NA,102,"Pattern cycling"
100,2,4.06527e+15,4.06527e+15,NA,419,419,NA,68,68,NA,351,351,NA,102,"Pattern cycling"
100,3,1.29617e+14,1.29617e+14,NA,584,584,NA,7,7,NA,577,577,NA,102,"Pattern cycling"
101,0,5.24891e+17,5.24891e+17,NA,433,433,NA,78,78,NA,355,355,NA,141,"Pattern cycling"
101,1,1.62189e+17,1.62189e+17,NA,430,430,NA,43,43,NA,387,387,NA,141,"Pattern cycling"
101,2,9.24735e+17,9.24735e+17,NA,445,445,NA,41,41,NA,404,404,NA,141,"Pattern cycling"
101,3,6.93124e+12,6.93124e+12,NA,527,527,NA,2,2,NA,525,525,NA,141,"Pattern cycling"
102,0,8.47546e+12,8.47546e+12,NA,263,263,NA,4,4,NA,259,259,NA,45,"Pattern cycling"
102,1,2.83701e+14,2.83701e+14,NA,337,337,NA,12,12,NA,325,325,NA,45,"Pattern cycling"
102,2,1.4562e+13,1.4562e+13,NA,300,300,NA,4,4,NA,296,296,NA,45,"Pattern cycling"
102,3,539202000,539202000,NA,357,357,NA,0,0,NA,357,357,NA,45,"Pattern cycling"
103,0,1.68911e+13,1.68911e+13,NA,281,281,NA,16,16,NA,265,265,NA,71,"Pattern cycling"
103,1,2.56089e+14,2.56089e+14,NA,343,343,NA,19,19,NA,324,324,NA,71,"Pattern cycling"
103,2,4.28457e+16,4.28457e+16,NA,386,386,NA,12,12,NA,374,374,NA,71,"Pattern cycling"
103,3,8515830000,8515830000,NA,417,417,NA,11,11,NA,406,406,NA,71,"Pattern cycling"
104,0,9.21699e+20,9.21699e+20,NA,455,455,NA,35,35,NA,420,420,NA,193,"Pattern cycling"
104,1,9.32209e+23,9.32209e+23,NA,570,570,NA,31,31,NA,539,539,NA,193,"Pattern cycling"
104,2,4.09813e+21,4.09813e+21,NA,564,564,NA,78,78,NA,486,486,NA,193,"Pattern cycling"
104,3,1.04335e+24,1.04335e+24,NA,983,983,NA,1,1,NA,982,982,NA,193,"Pattern cycling"
105,0,2.08477e+18,2.08477e+18,NA,374,374,NA,7,7,NA,367,367,NA,134,"Pattern cycling"
105,1,7.5147e+15,7.5147e+15,NA,364,364,NA,7,7,NA,357,357,NA,134,"Pattern cycling"
105,2,1.19292e+17,1.19292e+17,NA,428,428,NA,44,44,NA,384,384,NA,134,"Pattern cycling"
105,3,1.51505e+12,1.51505e+12,NA,508,508,NA,10,10,NA,498,498,NA,134,"Pattern cycling"
106,0,8.4099e+14,8.4099e+14,NA,416,416,NA,117,117,NA,299,299,NA,128,"Pattern cycling"
106,1,2.09788e+18,2.09788e+18,NA,426,426,NA,14,14,NA,412,412,NA,128,"Pattern cycling"
106,2,5.25833e+16,5.25833e+16,NA,396,396,NA,20,20,NA,376,376,NA,128,"Pattern cycling"
106,3,5.85376e+12,5.85376e+12,NA,610,610,NA,88,88,NA,522,522,NA,128,"Pattern cycling"
107,0,2.06062e+21,2.06062e+21,NA,470,470,NA,43,43,NA,427,427,NA,181,"Set pattern"
107,1,5.30083e+22,5.30083e+22,NA,511,511,NA,0,0,NA,511,511,NA,181,"Set pattern"
107,2,4.4795e+11,4.4795e+11,NA,389,389,NA,127,127,NA,262,262,NA,181,"Set pattern"
107,3,3.15057e+12,3.15057e+12,NA,511,511,NA,0,0,NA,511,511,NA,181,"Set pattern"
108,0,1.48251e+17,1.48251e+17,NA,374,374,NA,30,30,NA,344,344,NA,130,"Pattern cycling"
108,1,2.56777e+16,2.56777e+16,NA,406,406,NA,37,37,NA,369,369,NA,130,"Pattern cycling"
108,2,3.49113e+16,3.49113e+16,NA,439,439,NA,67,67,NA,372,372,NA,130,"Pattern cycling"
108,3,2.56432e+15,2.56432e+15,NA,639,639,NA,9,9,NA,630,630,NA,130,"Pattern cycling"
109,0,2.92033e+20,2.92033e+20,NA,452,452,NA,42,42,NA,410,410,NA,171,"Pattern cycling"
109,1,1.54716e+20,1.54716e+20,NA,468,468,NA,14,14,NA,454,454,NA,171,"Pattern cycling"
109,2,1.7048e+16,1.7048e+16,NA,384,384,NA,19,19,NA,365,365,NA,171,"Pattern cycling"
109,3,1.27129e+11,1.27129e+11,NA,468,468,NA,14,14,NA,454,454,NA,171,"Pattern cycling"
110,0,1.67604e+15,1.67604e+15,NA,359,359,NA,54,54,NA,305,305,NA,94,"Pattern cycling"
110,1,2.84463e+16,2.84463e+16,NA,437,437,NA,67,67,NA,370,370,NA,94,"Pattern cycling"
110,2,1.18972e+15,1.18972e+15,NA,406,406,NA,67,67,NA,339,339,NA,94,"Pattern cycling"
110,3,16102.5,16102.5,NA,179,179,NA,7,7,NA,172,172,NA,94,"Pattern cycling"
111,0,2.34779e+17,2.34779e+17,NA,384,384,NA,36,36,NA,348,348,NA,137,"Pattern cycling"
111,1,1.7048e+16,1.7048e+16,NA,371,371,NA,6,6,NA,365,365,NA,137,"Pattern cycling"
111,2,8.86872e+24,8.86872e+24,NA,623,623,NA,62,62,NA,561,561,NA,137,"Pattern cycling"
111,3,3.19155e+14,3.19155e+14,NA,629,629,NA,36,36,NA,593,593,NA,137,"Pattern cycling"
112,0,1.61849e+24,1.61849e+24,NA,491,491,NA,6,6,NA,485,485,NA,180,"Pattern cycling"
112,1,1.62625e+19,1.62625e+19,NA,445,445,NA,13,13,NA,432,432,NA,180,"Pattern cycling"
112,2,6.8198e+19,6.8198e+19,NA,455,455,NA,9,9,NA,446,446,NA,180,"Pattern cycling"
112,3,1.21168e+21,1.21168e+21,NA,881,881,NA,19,19,NA,862,862,NA,180,"Pattern cycling"
113,0,7.52595e+13,7.52595e+13,NA,312,312,NA,34,34,NA,278,278,NA,7,"Pattern cycling"
113,1,16911300000,16911300000,NA,252,252,NA,22,22,NA,230,230,NA,7,"Pattern cycling"
113,2,783552000,783552000,NA,241,241,NA,41,41,NA,200,200,NA,7,"Pattern cycling"
113,3,2204040000,2204040000,NA,409,409,NA,27,27,NA,382,382,NA,7,"Pattern cycling"
114,0,1.88018e+15,1.88018e+15,NA,322,322,NA,16,16,NA,306,306,NA,93,"Pattern cycling"
114,1,9.22257e+15,9.22257e+15,NA,366,366,NA,7,7,NA,359,359,NA,93,"Pattern cycling"
114,2,5.80969e+14,5.80969e+14,NA,354,354,NA,22,22,NA,332,332,NA,93,"Pattern cycling"
114,3,4.47459e+14,4.47459e+14,NA,606,606,NA,7,7,NA,599,599,NA,93,"Pattern cycling"
115,0,3.71811e+17,3.71811e+17,NA,361,361,NA,9,9,NA,352,352,NA,138,"Reactive meandering"
115,1,9.77239e+20,9.77239e+20,NA,481,481,NA,9,9,NA,472,472,NA,138,"Reactive meandering"
115,2,2.09226e+16,2.09226e+16,NA,376,376,NA,9,9,NA,367,367,NA,138,"Reactive meandering"
115,3,2.66081e+12,2.66081e+12,NA,517,517,NA,9,9,NA,508,508,NA,138,"Reactive meandering"
116,0,5.84268e+19,5.84268e+19,NA,472,472,NA,76,76,NA,396,396,NA,74,"Set pattern"
116,1,3.48178e+14,3.48178e+14,NA,446,446,NA,119,119,NA,327,327,NA,74,"Set pattern"
116,2,7.11096e+12,7.11096e+12,NA,423,423,NA,134,134,NA,289,289,NA,74,"Set pattern"
116,3,1.44136e+13,1.44136e+13,NA,543,543,NA,5,5,NA,538,538,NA,74,"Set pattern"
117,0,5.88823e+17,5.88823e+17,NA,356,356,NA,0,0,NA,356,356,NA,84,"Pattern cycling"
117,1,4.73383e+14,4.73383e+14,NA,346,346,NA,16,16,NA,330,330,NA,84,"Pattern cycling"
117,2,4.27309e+14,4.27309e+14,NA,358,358,NA,29,29,NA,329,329,NA,84,"Pattern cycling"
117,3,1.08062e+12,1.08062e+12,NA,492,492,NA,0,0,NA,492,492,NA,84,"Pattern cycling"
118,0,12105100000,12105100000,NA,202,202,NA,0,0,NA,202,202,NA,2,"Set pattern"
118,1,961632000,961632000,NA,202,202,NA,0,0,NA,202,202,NA,2,"Set pattern"
118,2,961632000,961632000,NA,202,202,NA,0,0,NA,202,202,NA,2,"Set pattern"
118,3,87227.8,87227.8,NA,202,202,NA,0,0,NA,202,202,NA,2,"Set pattern"
119,0,2.27599e+25,2.27599e+25,NA,528,528,NA,20,20,NA,508,508,NA,199,"Pattern cycling"
119,1,2.12621e+28,2.12621e+28,NA,637,637,NA,0,0,NA,637,637,NA,199,"Pattern cycling"
119,2,8.46006e+27,8.46006e+27,NA,650,650,NA,22,22,NA,628,628,NA,199,"Pattern cycling"
119,3,16.7084,16.7084,NA,50,50,NA,0,0,NA,50,50,NA,199,"Pattern cycling"
120,0,1.14202e+25,1.14202e+25,NA,624,624,NA,122,122,NA,502,502,NA,169,"Pattern cycling"
120,1,1.19612e+19,1.19612e+19,NA,432,432,NA,3,3,NA,429,429,NA,169,"Pattern cycling"
120,2,9.7462e+18,9.7462e+18,NA,519,519,NA,92,92,NA,427,427,NA,169,"Pattern cycling"
120,3,9.61053e+19,9.61053e+19,NA,820,820,NA,3,3,NA,817,817,NA,169,"Pattern cycling"
121,0,5.86541e+18,5.86541e+18,NA,413,413,NA,37,37,NA,376,376,NA,40,"Set pattern"
121,1,1.07105e+13,1.07105e+13,NA,381,381,NA,88,88,NA,293,293,NA,40,"Set pattern"
121,2,4.04351e+11,4.04351e+11,NA,361,361,NA,100,100,NA,261,261,NA,40,"Set pattern"
121,3,95929100000,95929100000,NA,449,449,NA,0,0,NA,449,449,NA,40,"Set pattern"
122,0,1.48827e+16,1.48827e+16,NA,362,362,NA,38,38,NA,324,324,NA,118,"Pattern cycling"
122,1,2.84463e+16,2.84463e+16,NA,424,424,NA,54,54,NA,370,370,NA,118,"Pattern cycling"
122,2,3.6696e+15,3.6696e+15,NA,402,402,NA,52,52,NA,350,350,NA,118,"Pattern cycling"
122,3,2043340,2043340,NA,258,258,NA,0,0,NA,258,258,NA,118,"Pattern cycling"
123,0,4.1872e+16,4.1872e+16,NA,374,374,NA,41,41,NA,333,333,NA,83,"Pattern cycling"
123,1,4.27309e+14,4.27309e+14,NA,365,365,NA,36,36,NA,329,329,NA,83,"Pattern cycling"
123,2,3.48178e+14,3.48178e+14,NA,389,389,NA,62,62,NA,327,327,NA,83,"Pattern cycling"
123,3,9.78068e+13,9.78068e+13,NA,611,611,NA,39,39,NA,572,572,NA,83,"Pattern cycling"
124,0,4.67901e+17,4.67901e+17,NA,358,358,NA,4,4,NA,354,354,NA,163,"Pattern cycling"
124,1,2.44945e+19,2.44945e+19,NA,439,439,NA,3,3,NA,436,436,NA,163,"Pattern cycling"
124,2,7.96269e+20,7.96269e+20,NA,489,489,NA,19,19,NA,470,470,NA,163,"Pattern cycling"
124,3,2.43961e+16,2.43961e+16,NA,672,672,NA,2,2,NA,670,670,NA,163,"Pattern cycling"
125,0,4.50082e+27,4.50082e+27,NA,556,556,NA,2,2,NA,554,554,NA,197,"Pattern cycling"
125,1,6.20579e+25,6.20579e+25,NA,582,582,NA,2,2,NA,580,580,NA,197,"Pattern cycling"
