"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"1",139,185355.415,50868,148.5,145,8.92109066122851,22.62,18,5.43423491311418,125.88,127,12.6621044415567,0.12542569679772,0.120265151515152,0.148617511520737,0.104743083003953,0.0153004273025306,0.148199009375692,0.137310606060606,0.179723502304147,0.134387351778656,0.0162719698162136,1
"2",56,266770.041,68191.9,170.01,169,3.78058570631963,44.81,44,1.33858813001542,125.2,125,4.75883017625809,0.127228766766709,0.123517786561265,0.152073732718894,0.11376673040153,0.0152248572574286,0.172594769261448,0.16699604743083,0.202764976958525,0.158699808795411,0.0182588953169532,2
"3",191,73956.079,68191.9,126.34,128.5,3.89565933009569,4.77,4.5,0.851083682338837,121.57,124,4.69526948700025,0.122927502520645,0.123517786561265,0.131336405529954,0.117590822179732,0.00560692297617368,0.127826753439522,0.127470355731225,0.138248847926267,0.122159090909091,0.00670864718225853,3
"4",144,155179.986,79632.6,130.08,131,1.6918103387266,0.69,0,1.26885775404495,129.39,131,2.96066809277155,0.12970461862278,0.125239005736138,0.142857142857143,0.12405303030303,0.00745658581225645,0.130499549498356,0.125239005736138,0.1463133640553,0.12405303030303,0.00888028700472326,4
"5",155,1038664.175,154243,172.5,164,16.8111915584875,33.56,24,14.0290607474109,138.94,140,5.73104253036465,0.140378803231761,0.132575757575758,0.168202764976959,0.124282982791587,0.0164708180168485,0.175224456458034,0.158699808795411,0.232718894009217,0.151515151515152,0.0327046334298819,5
"6",124,975139.99,483581,169.2,164,8.14266727203257,19.26,14,7.76760951488665,149.94,149,13.8693907580686,0.150303113536314,0.145256916996047,0.161931818181818,0.14244741873805,0.00760998300840188,0.170348798628858,0.16501976284585,0.188940092165899,0.155831739961759,0.0122614695622309,6
"7",136,1312664.8,529876,163.36,159,15.5813408222201,16.56,10,11.274643043466,146.8,153,21.5715862498179,0.146734178970435,0.146271510516252,0.169507575757576,0.125494071146245,0.0150945914255712,0.164318210376453,0.152007648183556,0.184331797235023,0.143280632411067,0.0171309908144718,7
"8",92,25658526.07,1848560,215.86,215,29.0172432191689,48.92,44,14.8906315880459,166.94,147,31.0762568108474,0.169181069848463,0.160138248847926,0.205492424242424,0.145256916996047,0.0218470577721931,0.219236479739666,0.210829493087558,0.25,0.205544933078394,0.0162925961874775,8
"9",61,16797112.07,2172820,158.58,189,75.2644066547456,226.26,18,447.890445208525,-67.68,171,522.853415925969,0.138711697677582,0.161931818181818,0.197896749521989,0,0.0683939326929602,0.152748258942404,0.180830039525692,0.197896749521989,0,0.0723535493263981,9
"10",91,5039252.6,2197140,188.45,194,8.48929807570578,21.82,8,18.588244357196,166.63,168,19.2031431560228,0.165373030920284,0.162055335968379,0.182600382409178,0.154377880184332,0.0108452698491544,0.188411135727721,0.18546845124283,0.213133640552995,0.166666666666667,0.0159654868723368,10
"11",72,10471163.76,2401750,207.24,197,23.9186837920366,42.3,40.5,9.78609609434103,164.94,165,26.6980194475965,0.164912932536344,0.16304347826087,0.193181818181818,0.149139579349904,0.0177985073958262,0.208288860494402,0.205626946685853,0.233901515151515,0.18546845124283,0.0187202880792881,11
"12",74,5352084.8,2498080,205.36,192,22.7296451287029,35.54,25,14.4511856841149,169.82,171,12.7543852628946,0.169284422579015,0.163479923518164,0.178977272727273,0.161067193675889,0.00782165993978503,0.205149438886862,0.185770750988142,0.231060606060606,0.183556405353728,0.022851974605265,12
