"seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
48,142.71253,100.438,74.46,70,8.3960308082649,8.48,4,10.716248401282,65.98,62,4.47209078168098,0.0544389438943894,0.0511551155115512,0.0594059405940594,0.0511551155115512,0.00368984387927473,0.0614356435643564,0.0577557755775578,0.0717821782178218,0.0544554455445545,0.0069274181586344,1
54,246.9730286,108.19,70.93,81,34.1195921085901,15.97,15,1.26694574278124,54.96,63,33.7563821126218,0.0453465346534653,0.051980198019802,0.0693069306930693,0.0033003300330033,0.0278518004229553,0.058523102310231,0.0668316831683168,0.0816831683168317,0.0156765676567657,0.0281514786374506,2
147,283.48372,284.407,214.89,211,39.3746303493952,139.37,135,38.5517244043046,75.52,76,3.51757492220611,0.0623102310231023,0.0627062706270627,0.066006600660066,0.0577557755775578,0.00290228953977402,0.17730198019802,0.174092409240924,0.222772277227723,0.141914191419142,0.0324873187701281,3
146,380.37375,306.358,99.57,97,4.98534215111023,21.54,20,2.88296984922062,78.03,77,7.19631639778086,0.0643811881188119,0.0635313531353135,0.0726072607260726,0.0561056105610561,0.00593755478364758,0.0821534653465347,0.08003300330033,0.0874587458745875,0.0767326732673267,0.00411331860652659,4
168,427.44136,382.909,73.39,94,33.4122988908533,297.99,14,421.267819393513,-224.6,80,454.642805736636,0.0480858085808581,0.066006600660066,0.0759075907590759,0,0.0333325411654966,0.0605528052805281,0.0775577557755776,0.0816831683168317,0.0206270627062706,0.0275679033752915,5
78,470.7181,515.526,94.46,96,1.77763888346312,12.58,12,3.66853946662453,81.88,84,5.22093687169092,0.0675577557755776,0.0693069306930693,0.0717821782178218,0.0602310231023102,0.00430770368951396,0.0779372937293729,0.0792079207920792,0.0792079207920792,0.0759075907590759,0.00146669874873195,6
22,8093.79333,555.315,120.64,106,25.7303499605215,15.16,17,6.55161326419962,105.48,85,23.3629595468528,0.087029702970297,0.0701320132013201,0.10973597359736,0.0693069306930693,0.0192763692630798,0.0995379537953795,0.0874587458745875,0.123762376237624,0.0742574257425743,0.0212296616835986,7
13,981.95732,867.504,76.41,97,40.9032104640042,226.4,6,387.383609108672,-149.99,91,428.250080224302,0.0594141914191419,0.0750825082508251,0.0816831683168317,0,0.0345874226019741,0.0630445544554455,0.08003300330033,0.0841584158415842,0.00495049504950495,0.033748523485152,8
128,836.59579,934.459,77.88,94,34.9993593014951,207.81,2,427.957863851482,-129.93,92,462.949094110112,0.0622607260726073,0.0759075907590759,0.0792079207920792,0,0.0303511532612672,0.0642574257425743,0.0775577557755776,0.0792079207920792,0.00495049504950495,0.0288773591596494,9
156,1408.74085,934.459,171.51,172,6.06612551699013,78.53,80,4.54262639289812,92.98,92,10.5274820725508,0.0767161716171617,0.0759075907590759,0.0907590759075908,0.0676567656765677,0.00868604131398582,0.141509900990099,0.141914191419142,0.149339933993399,0.136138613861386,0.00500505405692255,10
26,2335.99349,1084.27,114.9,112,9.15577865767204,15.15,12,4.36324177508865,99.75,94,10.4614491917668,0.0823019801980198,0.0775577557755776,0.0957095709570957,0.0759075907590759,0.00863155873908156,0.0948019801980198,0.0924092409240924,0.105610561056106,0.0874587458745875,0.00755427281986142,11
178,1058.76568,1084.27,95.28,97,2.97491193316727,2.4,4,2.34413086131075,92.88,94,4.87682625725321,0.0766336633663366,0.0775577557755776,0.08003300330033,0.070957095709571,0.00402378404063796,0.0786138613861386,0.08003300330033,0.0808580858085809,0.0750825082508251,0.00245454779964295,12
129,1232.72835,1355.2,106.45,112,7.95489176735316,13.68,15,3.41972885687527,92.77,97,9.72745256135096,0.076542904290429,0.08003300330033,0.084983498349835,0.0643564356435644,0.00802595095821036,0.0878300330033003,0.0924092409240924,0.0924092409240924,0.0767326732673267,0.00656344205227158,13
55,3361.3454,1459.8,121.54,103,23.2354744459258,15.44,5,14.7554612385935,106.1,98,9.37598479676087,0.0875412541254125,0.0808580858085809,0.0965346534653465,0.08003300330033,0.00773596105343306,0.100280528052805,0.084983498349835,0.128712871287129,0.0833333333333333,0.0191711835362424,14
90,1073.89782,1459.8,80.81,101,38.8232709033688,231.69,3,443.206741894351,-150.88,98,481.984078700959,0.0628135313531353,0.0808580858085809,0.0825082508250825,0,0.0327182188071656,0.0666749174917492,0.0833333333333333,0.084983498349835,0.00495049504950495,0.0320324017354528,15
92,1382.54603,1572.46,103.09,103,8.05422907922329,8.58,11,4.26207138903756,94.51,99,9.48948913484831,0.0779785478547855,0.0816831683168317,0.0866336633663366,0.066006600660066,0.00782961149739959,0.0850577557755776,0.084983498349835,0.0957095709570957,0.0775577557755776,0.00664540353071229,16
15,4983.71237,1693.83,135.18,125,20.4155713991932,30,29,5.3748384988657,105.18,100,17.5000028860026,0.0867821782178218,0.0825082508250825,0.106435643564356,0.066006600660066,0.0144389462755797,0.111534653465347,0.103135313531353,0.13036303630363,0.0899339933993399,0.0168445308574201,17
