"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"1",193,1129.80818,502.1,177.76,172,7.89338042573995,73,74,8.12279496108316,104.76,98,13.4915761222559,0.0737746478873239,0.0690140845070423,0.0873239436619718,0.0633802816901408,0.00950110994525065,0.125183098591549,0.12112676056338,0.130985915492958,0.11830985915493,0.00555871860967602,1
"2",134,3387.56186,647.182,187.27,180,13.4996109184485,71.85,75,6.96510059242695,115.42,102,19.8647853491976,0.0812816901408451,0.071830985915493,0.102112676056338,0.0669014084507042,0.0139892854571814,0.131880281690141,0.126760563380282,0.145070422535211,0.119718309859155,0.00950676825242855,2
"3",107,792.73178,888.837,212.46,216,4.32147561778977,110.82,109,6.76500203438643,101.64,107,10.9096565509922,0.0715774647887324,0.0753521126760563,0.0809859154929577,0.0626760563380282,0.00768285672605082,0.149619718309859,0.152112676056338,0.152816901408451,0.146478873239437,0.00304329268858434,3
"4",127,958.07928,888.837,196.95,176,26.5837251799751,89.26,70,25.1788030138869,107.69,107,4.0369380335681,0.0758380281690141,0.0753521126760563,0.0788732394366197,0.071830985915493,0.00284291410814655,0.138697183098592,0.123943661971831,0.16830985915493,0.12112676056338,0.0187209332253346,4
"5",30,1914.69502,1220.72,123.56,121,10.208255720175,8.83,9,2.44145593257529,114.73,112,11.41402203388,0.0807957746478873,0.0788732394366197,0.0936619718309859,0.071830985915493,0.00803804368583101,0.0870140845070423,0.0852112676056338,0.0971830985915493,0.078169014084507,0.00718891247899645,5
"6",78,1986.5369,1573.45,227.47,211,48.3372945085266,108.71,95,43.4848853341624,118.76,116,5.07543101617981,0.0836338028169014,0.0816901408450704,0.0901408450704225,0.0816901408450704,0.00357424719449282,0.16019014084507,0.148591549295775,0.219718309859155,0.127464788732394,0.0340403482454413,6
"7",51,2238.54112,1786.37,158.14,154.5,6.90779094628491,40.5,36,6.82908219575395,117.64,118,11.4199188024498,0.0828450704225352,0.0830985915492958,0.0936619718309859,0.0704225352112676,0.00804219633975335,0.111366197183099,0.108802816901408,0.119014084507042,0.107746478873239,0.00486464151146824,7
"8",99,8832.31824,1786.37,198.06,175,33.0670637806066,73.34,57,17.9950722772271,124.72,118,21.8248676624819,0.087830985915493,0.0830985915492958,0.116197183098592,0.076056338028169,0.0153696251144239,0.139478873239437,0.123239436619718,0.178169014084507,0.114788732394366,0.02328666463423,8
"9",199,8757.8055,1786.37,165.38,146,33.2093999106314,32.91,28,17.0602586217919,132.47,118,19.670238504611,0.0932887323943662,0.0830985915492958,0.109859154929577,0.0788732394366197,0.01385228063705,0.116464788732394,0.102816901408451,0.152816901408451,0.0936619718309859,0.023386901345515,9
"10",85,4130.6136,2453.39,145.52,141,10.5805997424102,19.78,17,5.57697285833688,125.74,123,12.8688960229106,0.0885492957746479,0.0866197183098592,0.101408450704225,0.0788732394366197,0.00906260283303565,0.102478873239437,0.0992957746478873,0.113380281690141,0.0957746478873239,0.00745112657916212,10
"11",105,3096.4458,3162.3,145.63,139,14.0910853687247,22.73,27,12.1985716997996,122.9,127,12.9064231131541,0.0865492957746479,0.0894366197183099,0.0936619718309859,0.0711267605633803,0.0090890303613761,0.102556338028169,0.097887323943662,0.116197183098592,0.0901408450704225,0.00992329955543992,11
"12",129,12771.2549,3590.23,283.98,281,14.7538592794009,146.55,141,8.51424830753862,137.43,129,19.0455355462225,0.0967816901408451,0.0908450704225352,0.115492957746479,0.0838028169014085,0.013412348976213,0.199985915492958,0.197887323943662,0.213380281690141,0.185915492957746,0.010390041746057,12
"13",9,15139.82928,3825.44,247.42,217,56.3140867246941,114.7,103,33.5684134840833,132.72,130,24.8397205534144,0.0934647887323944,0.0915492957746479,0.119718309859155,0.0746478873239437,0.0174927609531087,0.174239436619718,0.152816901408451,0.237323943661972,0.143661971830986,0.0396578075526014,13
"14",25,7432.4992,4343.09,160.16,149,30.8743690893703,27.66,19.5,16.7303148309718,132.5,132,16.7479834456256,0.0933098591549296,0.0929577464788732,0.109859154929577,0.0767605633802817,0.011794354539173,0.112788732394366,0.104929577464789,0.15,0.0922535211267606,0.0217425134432185,14
"15",102,5778.7592,4343.09,154.36,153,4.25338842939522,19.79,17,9.96994979876524,134.57,132,7.49579680200642,0.0947676056338028,0.0929577464788732,0.102816901408451,0.0901408450704225,0.00527873014225804,0.108704225352113,0.107746478873239,0.111971830985915,0.104929577464789,0.00299534396436283,15
"16",28,4684.7734,4627.63,200.29,200.5,1.4859272519137,68.07,67,4.3536934279582,132.22,133,5.78325692028814,0.093112676056338,0.0936619718309859,0.097887323943662,0.0866197183098592,0.00407271614104798,0.141049295774648,0.141197183098592,0.142253521126761,0.13943661971831,0.00104642764219274,16
