"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"1",100,245823745.3,60577200,237.42,230,32.4402107380219,34.26,32,2.5529543195239,203.16,198,34.3874889158745,0.196864424860853,0.198863636363636,0.225,0.1575,0.0279996428556521,0.231975834879406,0.242045454545455,0.264030612244898,0.1775,0.0375616612450358,1
"2",53,1214367706730,520220000,294,286,49.1978072928484,34.33,36,18.9587830449492,259.67,222,60.8626629172084,0.246826124768089,0.222727272727273,0.32780612244898,0.215625,0.0407083435982319,0.284060760667904,0.263636363636364,0.358418367346939,0.225,0.0512867687096804,2
"3",81,5114401252679860,2836359000,293.52,366,85.6087506147484,1.66,1,1.24899959967968,291.86,365,86.4047347187536,0.284796614100186,0.237786989795918,0.414772727272727,0.213636363636364,0.0862250177548983,0.286567625231911,0.238737244897959,0.415909090909091,0.218181818181818,0.0856941170308864,3
"4",58,3394432364,4949190000,301.42,287,20.0056456678073,69.8,67,21.9125903571809,231.62,218,39.3525325510547,0.228615909090909,0.247727272727273,0.25,0.183125,0.0288053895924313,0.305768831168831,0.323863636363636,0.366071428571429,0.2075,0.0636009655997158,4
"5",92,12730535884,8258210000,257.35,252,38.4572109065006,10.45,13,6.51397099946094,246.9,236,44.0517372592223,0.241642103432282,0.253409090909091,0.268181818181818,0.196875,0.0284839288568011,0.253824617346939,0.268181818181818,0.286363636363636,0.196875,0.035922491006552,5
"6",200,18852444720,10135100000,294.12,274,40.3217564151667,39.61,46.5,23.1851986047874,254.51,225,60.3624565571694,0.254444434137291,0.255681818181818,0.272959183673469,0.2275,0.0163209913823005,0.301108858998145,0.311363636363636,0.336363636363636,0.2275,0.0414809816847209,6
"7",10,54122972200,11227900000,319.72,301,31.7407681639302,55.08,75,32.8223501088308,264.64,226,64.5585663165508,0.258997008348794,0.256818181818182,0.288265306122449,0.233125,0.0198357705978738,0.324196915584416,0.342045454545455,0.383928571428571,0.233125,0.0568937653975334,7
"8",82,22310511300,23341300000,281.64,239,96.0771491347375,5.08,6,1.6918103387266,276.56,233,95.2407178859669,0.261048121521336,0.263920454545455,0.270454545454545,0.244897959183673,0.00991842296607299,0.266056447124304,0.269204545454545,0.277272727272727,0.247448979591837,0.0109998133568864,8
"9",154,25372014409000,28218200000,362.68,360,26.5637711817042,71.56,81,34.9912889592582,291.12,279,61.4416500725393,0.292223272263451,0.267045454545455,0.355867346938776,0.245625,0.0441701846244335,0.375260783858998,0.384090909090909,0.459183673469388,0.25375,0.0769970600333761,9
"10",83,30616161802000,31101200000,320.87,325,82.8219039733921,9.08,3,9.42024469432775,311.79,318,85.865209732605,0.295087082560297,0.268125,0.361363636363636,0.262755102040816,0.0379852683929548,0.305194457328386,0.269375,0.369318181818182,0.266581632653061,0.0420953530392611,10
