seed,category
"1","Pattern cycling"
"2","Pattern cycling"
"3","Pattern cycling"
"4","Pattern cycling"
"5","Pattern cycling"
"6","Pattern cycling"
"7","Pattern cycling"
"8","Pattern cycling"
"9","Pattern cycling"
"10","Pattern cycling"
"11","Loop"
"12","Spiraling"
"13","Pattern cycling"
"14","Pattern cycling"
"15","Loop"
"16","Pattern cycling"
"17","Reactive meandering"
"18","Loop"
"19","Pattern cycling"
"20","Pattern cycling"
"21","Pattern cycling"
"22","Loop"
"23","Loop"
"24","Pattern cycling"
"25","Loop"
"26","Loop"
"27","Loop"
"28","Pattern cycling"
"29","Pattern cycling"
"30","Loop"
"31","Pattern cycling"
"32","Pattern cycling"
"33","Loop"
"34","Pattern cycling"
"35","Pattern cycling"
"36","Loop"
"37","Pattern cycling"
"38","Reactive meandering"
"39","Pattern cycling"
"40","Pattern cycling"
"41","Pattern cycling"
"42","Pattern cycling"
"43","Pattern cycling"
"44","Loop"
"45","Pattern cycling"
"46","Loop"
"47","Pattern cycling"
"48","Loop"
"49","Pattern cycling"
"50","Pattern cycling"
"51","Pattern cycling"
"52","Pattern cycling"
"53","Loop"
"54","Pattern cycling"
"55","Pattern cycling"
"56","Pattern cycling"
"57","Pattern cycling"
"58","Pattern cycling"
"59","Pattern cycling"
"60","Pattern cycling"
"61","Pattern cycling"
"62","Loop"
"63","Pattern cycling"
"64","Pattern cycling"
"65","Loop"
"66","Pattern cycling"
"67","Loop"
"68","Pattern cycling"
"69","Loop"
"70","Pattern cycling"
"71","Pattern cycling"
"72","Pattern cycling"
"73","Loop"
"74","Pattern cycling"
"75","Loop"
"76","Pattern cycling"
"77","Loop"
"78","Loop"
"79","Loop"
"80","Loop"
"81","Loop"
"82","Reactive meandering"
"83","Loop"
"84","Loop"
"85","Loop"
"86","Reactive meandering"
"87","Loop"
"88","Loop"
"89","Reactive meandering"
"90","Pattern cycling"
"91","Pattern cycling"
"92","Loop"
"93","Pattern cycling"
"94","Pattern cycling"
"95","Pattern cycling"
"96","Pattern cycling"
"97","Pattern cycling"
"98","Pattern cycling"
"99","Pattern cycling"
"100","Pattern cycling"
"101","Pattern cycling"
"102","Loop"
"103","Loop"
"104","Loop"
"105","Reactive meandering"
"106","Pattern cycling"
"107","Pattern cycling"
"108","Pattern cycling"
"109","Pattern cycling"
"110","Pattern cycling"
"111","Loop"
"112","Pattern cycling"
"113","Pattern cycling"
"114","Loop"
"115","Loop"
"116","Loop"
"117","Loop"
"118","Pattern cycling"
"119","Pattern cycling"
"120","Reactive meandering"
"121","Pattern cycling"
"122","Loop"
"123","Reactive meandering"
"124","Pattern cycling"
"125","Pattern cycling"
"126","Pattern cycling"
"127","Pattern cycling"
"128","Pattern cycling"
"129","Set pattern"
"130","Pattern cycling"
"131","Loop"
"132","Pattern cycling"
"133","Loop"
"134","Loop"
"135","Reactive meandering"
"136","Pattern cycling"
"137","Pattern cycling"
"138","Loop"
"139","Set pattern"
"140","Pattern cycling"
"141","Pattern cycling"
"142","Loop"
"143","Pattern cycling"
"144","Reactive meandering"
"145","Pattern cycling"
"146","Pattern cycling"
"147","Pattern cycling"
"148","Loop"
"149","Loop"
"150","Pattern cycling"
"151","Loop"
"152","Loop"
"153","Loop"
"154","Pattern cycling"
"155","Loop"
"156","Loop"
"157","Loop"
"158","Pattern cycling"
"159","Loop"
"160","Pattern cycling"
"161","Pattern cycling"
"162","Loop"
"163","Pattern cycling"
"164","Pattern cycling"
"165","Pattern cycling"
"166","Pattern cycling"
"167","Pattern cycling"
"168","Pattern cycling"
"169","Pattern cycling"
"170","Reactive meandering"
"171","Loop"
"172","Pattern cycling"
"173","Loop"
"174","Loop"
"175","Pattern cycling"
"176","Pattern cycling"
"177","Pattern cycling"
"178","Set pattern"
"179","Pattern cycling"
"180","Reactive meandering"
"181","Pattern cycling"
"182","Loop"
"183","Pattern cycling"
"184","Pattern cycling"
"185","Loop"
"186","Loop"
"187","Loop"
"188","Pattern cycling"
"189","Pattern cycling"
"190","Pattern cycling"
"191","Loop"
"192","Loop"
"193","Pattern cycling"
"194","Pattern cycling"
"195","Loop"
"196","Pattern cycling"
"197","Pattern cycling"
"198","Loop"
"199","Pattern cycling"
"200","Pattern cycling"
