genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[99]ucPcEpcfcyxccccccOHnndDfcjztccxcJchnHpcccaaRuvcccwgOcHcHwpceoHfccEcadlwucHvcMcrjAAqcclctAHcycHFQPcN",1.66308e+17,401110,228,415,70,0, 1
"[98]OfsJfbcsefbpIHMobQCQfcRcGHPHOBeDfgcjwOccHHDxvkNnhcxfDOJyujQxFicmfxHuhcmPjncczHrgczvayHDcMcoHFpLmHb",3.03595e+10,829856,451,224,14,0, 10
"[98]JcckLwcHgCcnmccAscvccrfkcccKOhkcccnHIHwcNdccFcxuHchBHcQcccccpcccBcczPIofcclcccxcRcKcLcccrcHqOhcPcG",1.90221e+12,275938,194,367,121,0, 100
"[84]cbbMegeOcdcccfccovxezaQLdPfpccduHulcAcBMGoccEotwddxtrHIzhaQcccceccKkcccoHagicbsHncHu",4.04351e+11,3.05041e+07,375,287,26,2, 101
"[101]ihqcccyOOccbcfcocDRzFcjRecBccscykcBcccFlccifcagcxcdBOycHPcdsHcccNcccPcDoccDccjOcJgccRcnqcDHcNpNcaQbgG",3.03595e+10,31010.8,180,288,78,0, 102
"[97]chczzceNoQQccxhccolcOGeBmiCcfcFmciccOvrcNJmnmccQikkJMuccxjAoHchPcgBjKcuyrQzvAcMtOxcBnOcKHcxKcHHRB",3.41898e+09,7.0729e+08,217,191,0,0, 103
"[102]ccccAKcRnamoeiLGbcvcbcgBiAcFFmhanstEfQhcvoiJiKghMRKcJnosNiecMyFkDcdJjjccccHAgvcucgMcBPffozoRtErctvHHAQ",8.20704e+12,2.06992e+08,233,534,6,3, 104
"[101]HcbRcccjBkwxcclcctcPEBfncydnacbFjgzcHyfoloccwyJtKccnccHwcDccbcNzOsHHtvcccRccBcReecKdcycgccDnHfjcccecB",8.54153e+10,17492.4,176,225,6,0, 105
"[99]cdcyccHcqccwuOccoclDccNcccccRccJcDcLcObHLcHHcpccctcqccecchcmkcKcrjbwvcccccLcLccxKccLdchfHhccccPcyNG",4.22747e+06,15143.6,119,160,11,1, 106
"[101]vBcBQrcQCPdGtzrckcQcfRsHctccLaAyccRccwMMcHclcuucncscpcqcQcczKwCfBceNsckccBccicbnJzNtKcLMcoMLQHcLlgHPG",1.07105e+13,1.80555e+13,196,313,20,1, 107
"[97]fcRkOxFIgoccLPmccrccucHPcgnLpjEcckcwcccEcnBPcpcMcdblyocccjccccucHvcKccpcbccccFRNicBccJLncccxccccr",8.72708e+12,216991,139,329,38,1, 108
"[93]vKPuMdpFLOlrJPJkvKhksPMkHlKDdoLHstHmylivbnQrwHJaHLQrumzsbcwjpuhrHPEHHsOPfDMJLvfePGHhyEaeHHjNA",2.42186e+09,5.43557e+08,652,188,0,0, 109
"[105]mddQHfegqccdcwQNcpltvkcwcagvMopscbtHcfcOcjpAgmcocJAhCcszbfHLFaJcbclDcctHBcrHkezhifKbLpGcbwccLQocuHdFLQcuH",8.54153e+10,1.37427e+08,294,219,0,0, 11
"[81]oaxPbifrfmcCcJxxhvMcdcPKcbmHcOcDcchcnLcHAbtbjaKcjfHHMDfAPcbunHPbpcQtchfyhdvNcccPG",8.32906e+23,692047,408,1280,302,3, 110
"[103]HHzcLbHiHCBaunltbzKlrmEcqkHkxgMjnPhwKnDzeQFJftFrQnvldDjbJkxcxFtMqpnAcmJMnHHdOyHQarJKHrCcMdzalNdomdeLfOG",2.04463e+37,2.50932e+37,857,839,0,1, 111
"[95]cctcKnrFEHrcqccDsrCOccLitfcocwczAzsmctMzGjkcccQwHJHHcHhKcoHfqcrpcOcohPIOicHjccRcirbQeKccQccIhch",2.40313e+11,1.37762e+06,214,228,0,0, 112
"[92]xfNooxsrccfadfvrzEcKcccPMcFznofcMHauccPccaCuHncHmiccQcHCcuQeJQbHHHsczJnatnoNsrbcfLHcdiMNRuJu",4.64281e+19,3.10935e+06,319,474,80,0, 113
"[101]cKjccyiccciBcLcKcwccccccccxcvcucINeclNcHADcMccuIcvFackicocjLhccHciccOrcHlwzycHBvetcccjccBHicyRApcrced",3.57647e+34,38058.5,138,778,1,2, 114
"[99]hOilcccHcOsGCJJtfclHgllcPslHcrdAMccEJLscEctkHmnscdkczcHbJpccFDcLPqhqccvaafHcHHHtfccclcDOwacKkcJlciC",5.31041e+14,4.52448e+07,260,396,101,0, 115
"[90]HCcMgnlHpcJnBKpdQArcNcHxHwEpnBzcFJyLvcHHHkcQwcNwFHHpOOruxpyJQJbtduvufbkMHEaaAeEQcKrccAswcx",7.46773e+15,669291,446,318,0,0, 116
"[105]bHcclMBMJHgaJtcHcncPkcccycBHPOHpOutBEspcgOxtclPwMHgiHnfDcKcjtcxccqcQCwcecfuljcLKbFCgaJuKuFnucciLcobrHMFlG",1.25054e+14,8.67522e+06,274,351,34,1, 117
"[96]PcvHctOHJOeccHNcAOEjivcccgucyycfwdcLMkjfvHIdKcHcyHqccccmHyrnhncpcwONczQccccccByutccwdMccicFuccJD",8.2804e+11,909968,251,327,59,2, 118
"[96]ezcEFQHoGHykcxcchccMINcjicndHOtfxKchcKccyHxcdcacccPccDccxdrtaHcsocadRccJtOcurlsBcQcHdxucmfcgcunF",1.53475e+14,5.47795e+06,204,334,15,1, 119
"[105]OctqccoQvFccmcFigcwRccltJOGiQcccosMkcyHyevccdDcnHHtzcscpjKceccccwlcDcchccjccccsceecQMOgfscwccnHKccanHHxco",3.68935e+19,4.93593e+07,155,452,12,2, 12
"[101]HccRohBccgcccKHjccDcqccyvcHHcomvcdcscaaceQccdEcKFcpcsPccccccfIHdclHLFpcgnciccccAcceHMdcqccccaHJckcccG",4.30257e+09,181393,200,202,9,0, 120
"[88]pfeyKKpcFkwHrHyHnrrgvxfRFdENmcvvIEcJNJKsEeLmQjyvcvuHmcHJHjKQqaJtaEfNAcyMRiPxadJHmHgNzwxQ",3.59522e+15,1.30743e+09,462,711,75,3, 121
"[98]DxkcohAcdaFHphscQamcpouJHHkvbsocEcMccuCfccfHfNlAAHmfOMwHFHtiNytwucicceyjAoccdccczacJHHocCFkdrxceHG",3.83541e+09,136876,286,192,0,0, 122
"[99]coziocPRciccKcNceKybBcLcccccNBzPcccRqcjcdHHPccgOOcbcccHHcnKcccNcHOcccQPcuEiccccuKMccvcnPFwccvcchccJ",1.81129e+23,110024,167,597,74,2, 123
"[103]acccAgNpwbcyeapvfatccPBcNNccHaAucBFsbbtyExhberPLpuJymhvsMcGpdztcfclJwcdcxucHAjcHcKcwccchrHacnRcHcRABHcI",1.48251e+17,1.52654e+10,307,344,0,0, 124
"[106]rmcccHwcLcuwccdcczcFccFBcclcBcccsmcDcccccccINOgcHHctcKcnczHycqKcjecvcccccccqzjzcHmJIccjccDcFcgcgfumcPcAcoG",3.35324e+14,5.43557e+08,136,369,78,0, 125
"[91]HtHiHepovJkcqccOgztKmHMctHozocaLQdKEyLpEHhJKcHHcJbHeNtnswtbFxlmQzpcuwQcAAvMBcbocIxNFNsFford",1.98517e+15,6.12135e+07,410,492,148,1, 126
"[103]abvcMMJMeOxALjcsHcHHOchwxocawuccFHBNkcqPHAwcMcaOGHbcjHhxcHHcvlcemcHjmAAtQDLcwHJHwwccREJMcuyiGHaobHhccKF",1.7048e+16,1.06818e+11,311,365,0,1, 127
"[97]cEcOkDffeHHCfevkaErMDFRcmsOcdMJiOKsHpecLtMwFJpPHpycbsPckpcldlcOdcKFkcgcccHHhKqENxCfHPcegEcQhgcJsC",1.02807e+13,1.7089e+10,286,559,27,3, 128
"[91]OrlciHGzzgiyFlGhFMlkjcLkmcbAunycdcJycezcQHytcccuezjcJbHHFcHHivciccckBxceHQRrCcKRbHyIozkcerr",1.37796e+10,1.06246e+07,333,252,24,2, 129
"[99]cdDotQLccGJcbHtphQHscNnmLCfJMFGzcHQigcHMBcHdcrFHatcjwbccHccsAFADbcHlMOHnHyceemcLoGccdJQHcgdlcDcHcBG",8.60812e+08,2.67022e+07,261,188,9,0, 13
"[91]QvQsEcqcccPriPOcMmfnodcNcuNvDcxwecdczckKatPbFbPEDcFcdcIIznLzrHebguccHiccoKcRlcijycIcoOichcy",9.71684e+36,2.41033e+07,242,783,42,0, 130
"[96]AvxMjHucEnmjcecdzAcOypGHFcujnwjcccaEnHOgcMcctuPcsmFbQccycDcoPFticHKtOGcccBNJlwxgjccOcHahcwQdvHaQ",2.1673e+08,20589.1,239,194,27,0, 131
"[74]EQoBjbQfgHJorHHpPLQHKcnQazMHqczFHifftFHfCgyOcwaydsPDvzlyxhtDOdkEPROvIhBgqc",1.36243e+13,7.45445e+09,846,857,320,3, 132
"[99]LckcRccebyJpcctqccNcscEHtcHKcRLcQJMddvcpoiccHmgocGdCcccfpktecQcuMoMgfyBcFOFccccFeczyPvBcmJeAoPIkczO",8.36769e+15,6.38451e+08,258,663,12,3, 133
"[96]yccccbobGcuPccbctcvjFCftcygcAEcgfLxdccKczcJtczljQcHccPcqccnHcwcceEthcjpHOtkcEAHxccHHHvuccCccctvl",3.04776e+09,1.06246e+07,159,190,0,0, 134
"[97]ccccdcccPcncJcMcGeBccHcccccckctjcAwfccccrkcccHFAcwcccKHrccQeccGchQccxcccccccuHccycnQHxcccccccccOG",545348,2.62355e+18,78,129,0,2, 135
"[104]gpvJgnKyHcDcCcHHbLQKQHrnOGgvccPrvcHhcAvcncKPmxlbcHHwjzNcwkcccaNcaNcILrcvcHPKAPxLdlwcHPccccchcdNvxcjFJcly",1.34223e+13,6.00366e+12,227,263,0,0, 136
"[97]sJhPIMcGifQhccHxcsHzcLbHNlclNxhbfccHxcncKblFDcxcvFCfgschwcccmdilzcwycPfOjgFbocPLcHMpccyHOcsvsaLLK",8.60812e+08,23884.6,197,179,0,0, 137
"[102]zcMcacLccRcccDccdcccccHcKccccccRMccQcJcclccccccAPcEccccJDccsciscjcwxccHAOHccbccHuccccccccccccrcyBMccci",3.65977e+13,1057.45,52,317,12,1, 138
"[99]jcHcfxJcbcPARfcsHHoKohsNzNutEbqccchcPdCHzcctciscFNJEckJifccOeAcebAtcuKPkcnlccbPccccccmctcocHtcixobH",3.68935e+19,2.71685e+09,175,409,17,0, 139
"[100]HccPcccccqBcHcBKclJMFRsnyQcMcBfxcckFncHsccKKvccQcmccaeecyccNccFcycJhtvHccHcDfcvLccHccHcKlLeQHAacrmcQ",1.01896e+14,1.86345e+06,147,493,178,1, 14
"[95]xlBcuacmcalLHhJLFQyadBccccrlsNgBweccNHxpbwCcHKnbMjmjPcccAxOcHHcHmnHlnpvtcHncJHnHHzpLkHkcHAryufw",4.62482e+20,2.67022e+07,409,501,87,0, 140
"[102]crcHcLzyHcHmccczceKcFtfcccecccdccQscBcxtcccccNccccczocaccOcbjcAcKcxfccccccHFrcJRhccPHcccctcQcccscDcccx",2.29927e+10,4000.96,75,349,116,1, 141
"[106]ofuoGHPcMwBgNPauviKQeHpPQHHEavfFJpGEdjcHHJhlEdIvvLHxHNQHubrrEoDNNAdQkoaNAxDssubAqERiCRQHnqdFQlhmRujKPBQwwz",1.17349e+18,4.94919e+09,511,459,97,0, 142
"[98]BcccycisAcOyccmKHCcCcvckwmnwiHvufcKclyfnccacuBMcbPcxvccMsqbdcgxEAKjHKcckJebyqcccHccvncHJEcHHNGNrcH",4.46749e+09,559490,216,217,0,1, 143
"[95]occrNuccCccQccczbJnbyDcHNnHHptjrkdpcccAHnccncccccztzLcsiCcwcicENcpEcyKKlcuHcccccebcctHKcDcvccca",2.93169e+19,2.45024e+06,153,453,63,0, 144
"[102]cAcHcccEcHccccccccccxrzchOKcEcocccchcccgcccccccccMGccccKccccvccccccJcncHccFcHccczcdcxocccccdcccccccckl",3.44461e+06,4409.85,42,147,0,1, 145
"[92]cclcCcnNcgidcJcHPcnpcOnHkcDcmllQfsuHMHcfcHCchzuNOQlzFBFpccGKkchcBccsDcFccoGgccHEnKDcavdRckzx",6.76512e+13,1.37796e+10,199,317,6,1, 146
"[99]crkJccmcccccccclcccncccavvcOkccsNcuczgccQcocococccJccjccycDccfcckKMHHLccgabcRcrNccmNsccfccFmDcNccLG",1.02996e+22,6.38451e+08,118,495,0,1, 147
"[105]cRcxoiploscwzcsAvcnccccNccnclclkwccbfMjvHNcQuccQpnrHmxcfOcKbAoJHKcHjcHchcohcccdcBchQGoccliccJRbPKccccccHb",1.96397e+07,318571,165,164,0,2, 148
"[99]ceJnBcaybNFMukccccoccfBcqccMbcxtKHlcmHHNpcaHxHHLcstnccyCccMcgcHBMkopovcPagHOcncxcHgcnNCccLcJcHctOpG",2.70628e+17,3.83541e+09,233,534,142,2, 149
"[86]hIHOGBlouxQghmwdccIHHlCdAKcqcvkfJKeoHbtBHADcLuPQaBtACcrifKQHHwHvgslCabpMmkCObouKdfuvzk",2.83701e+14,1.8875e+14,599,451,126,1, 15
"[97]wvcJoKNKxJxEcgfvAHrcjeDcehHcNKcczcsaLwcKcHruOGQuHzccxtidHmecoccENcBQcgMcHHjcgpEvBOcINMMMclcJNcnke",1.20115e+12,7.85658e+10,216,242,0,0, 150
"[98]RuMcGKcnccHpcOcqcqcqcJccbNDHcmcckbPbcBHQczBccFcfchMcpcjBccccHylercrtfecMzccecQcccrwyecccHyNgcKckcR",1.72222e+08,3260.15,137,166,1,0, 151
"[97]ccBdcDeccPgjJsccOdHPgPcjcyclcxfcdcpccKcHcNiLQxtzctccxccccxczcHkyHcHAgapicHiByEKcncHqicHcccgqcacRG",6.47074e+18,1.17702e+07,165,478,55,2, 152
"[98]cHfQFGpccruvNQbHDcccbsHupbthccJrtHHvnHoeHocgHBccvsHoecJqeeaDcLcFNcbHchccQcELepctHJuBHAuFkcccLcwctG",6.78741e+10,1.23087e+06,319,217,0,0, 153
"[102]fccCcxccxcrcNcccbcccccvcccaconccHdzPccLcccccccarcccJzxccvcccccccjctccczfcccKccccHccccnvcwccHFPEcccrOcG",1.35269e+11,2.96608e+09,103,223,0,0, 154
"[102]bcMhzAzcIpuDcPrwQcldhiEcNkIsuIcrzuocdMDhwcwAJfczjbypdwcHpicKcrIbaevHclHmcvcaHxcNcHcaHcbLRygBzclccGrOCm",8.50843e+11,5.9574e+06,219,247,8,0, 155
"[102]egcsAgcFHoccqccNeKcnNcqLnIIKcccCReFccBicCswHNcKDcnOcnLcfIcssdzcpcFimqomcOxwyrcHdlAcLBklcFfONccydCccKEF",3.34025e+15,1.38167e+12,167,332,21,0, 156
