genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[78]fBoIoeedMjjcPhIHuydpjFLdPchQGKcHcFCfbKcAncFHbnbcIHdMfaeRxzdLbtoLtFNGtbzQprLGfj",146619,6956.5,1588,184,24,0, 1
"[59]HOGIHHPmMneIDNKalfKhoCshQRwxbjQeyblhgeQIciEedHndEecmcweecaK",80887.6,6956.92,2714,165,13,0, 10
"[75]FOfereEstHoIcKcMHpGBNcKmcPcmkoqfAjPhahxocPhpMwNejdcBpmoIanQBHkPmvHtcnncijaJ",1.01987e+09,48069.1,817,437,158,1, 100
"[92]rocJBdcHxKHhNKjLoxvaNtlrPDyzmcFEdiMGylIhafelInfByoFKKcvfHxcIMuKOHyHlfCtxkQkijEteNnRNMPNiQpcA",3.59381e+07,117308,851,241,7,1, 101
"[98]tnntPhQtibMwINNNGbAzQHnwPFkchvzcFNtFEmobwcAoEsrcmvcydHKcQoRosjfskzeiAvsoHoPKmbunAylcssDecfIzhruazQ",2.86906e+06,22855.4,982,291,91,3, 102
"[76]vIOBrasPDEyAzegwHKQqNuKLiEIilIKOEFizOamInhHcPHMDOgJFPBtKHNDKiQqGAyxgvcmeqkQN",8.92516e+15,1.84462e+08,2164,530,36,1, 103
"[90]ApFAFchsKcMEcikcopHoIIHNclBRLanrKNzPvHnJpHNbhHLrmMazfzkPJHAKQRLaejccchnJNapixcqmudNxyiOGIO",4.16996e+07,4.16086e+06,1124,371,135,0, 104
"[99]rceHnPcnmPcEBAIHOiHlnQGefboczbAMQNcIaMcPcpenxMEhPzslbIncccifkcstcBcaKRDcqaDdpzBqfindLyqQoCHRiugcxtD",212635,15759.7,784,206,41,1, 105
"[103]MQKIRcLFcxEyFcHnADwbnlENwRCHbaxrEpGaEbkzfiMqclOdPeBAeFotHfhdBoHHmcQxvFNmIPFiKcRNtAQaIotMIhNdhHAiqQqsOLP",8.15981e+08,126362,1059,419,143,0, 106
"[88]iCRqBOCCkcIKczcRbbowrOazBcdQIFleHHBtOrKcnbpaPJlEHIjxHBcHerzcLEoHkyxcIzjczhRdPaGCrgEOAdKs",1.26638e+06,80888.1,1153,220,31,1, 107
