"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"1",168,193.0042,150.372,103.27,105,6.74327948270114,21.9,19,5.5876848714134,81.37,79,6.76242589906936,0.0573028169014084,0.0556338028169014,0.0647887323943662,0.0528169014084507,0.004762271759908,0.0727253521126761,0.073943661971831,0.0788732394366197,0.0661971830985915,0.0047487883680994,1
"2",147,628.65328,570.044,131.58,104,43.4097647628696,30.98,7,38.4263640557554,100.6,100,5.41229427257326,0.0708450704225352,0.0704225352112676,0.076056338028169,0.0661971830985915,0.00381147483984032,0.0926619718309859,0.0732394366197183,0.138028169014085,0.0711267605633803,0.0305702568752603,2
"3",9,7418.06876,689.582,123.18,110,30.85789521289,9.98,5,7.64619136722607,113.2,103,23.5873617932069,0.0797183098591549,0.0725352112676056,0.119014084507042,0.071830985915493,0.0166108181642302,0.0867464788732394,0.0774647887323944,0.138028169014085,0.0753521126760563,0.0217309121217535,3
"4",83,4272.17928,761.884,129.36,128.5,21.6302818037373,14.28,9,9.621188737743,115.08,104.5,21.5498857481328,0.0810422535211268,0.0735915492957746,0.106338028169014,0.0697183098591549,0.0151759758789667,0.0910985915492958,0.0904929577464789,0.112676056338028,0.071830985915493,0.0152325928195333,4
"5",136,920.27164,1075.22,98.16,132,57.0696402510463,347.57,19,571.22615336032,-249.41,110,628.194817864585,0.0588661971830986,0.0774647887323944,0.0816901408450704,0,0.0342704141518674,0.0691267605633803,0.0929577464788732,0.0943661971830986,0,0.0401898875007368,5
"6",148,5626.29051,1220.72,140.93,134,23.5553313787694,17.15,13,5.68601864935458,123.78,112,19.4570648798161,0.087169014084507,0.0788732394366197,0.108450704225352,0.0732394366197183,0.0137021583660677,0.0992464788732394,0.0943661971830986,0.125352112676056,0.0809859154929577,0.0165882615343446,6
"7",159,8086.76702,1385.91,238.19,243,36.7952826906226,109.35,83,34.9482662392759,128.84,114,20.6190654149469,0.0907323943661972,0.0802816901408451,0.112676056338028,0.076056338028169,0.0145204686020753,0.167739436619718,0.17112676056338,0.195774647887324,0.129577464788732,0.0259121709088891,7
"8",161,1362.9784,1573.45,125.1,129,11.4322775376112,15.87,13,3.81028644963641,109.23,116,13.1800698945128,0.0769225352112676,0.0816901408450704,0.0866197183098592,0.0626760563380282,0.00928173936233295,0.0880985915492958,0.0908450704225352,0.097887323943662,0.0788732394366197,0.00805089967437408,8
"9",169,9997.18132,1573.45,262.95,255,12.7686286964528,132.85,139,12.8325462174988,130.1,116,25.5230139761009,0.0916197183098592,0.0816901408450704,0.112676056338028,0.0661971830985915,0.0179739535042964,0.185176056338028,0.179577464788732,0.196478873239437,0.173239436619718,0.00899199203975551,9
"10",151,7164.416,1903.4,250.24,235,18.6791732994668,121.37,120,5.43771899593827,128.87,119,17.8391550961769,0.0907535211267606,0.0838028169014085,0.11056338028169,0.0795774647887324,0.0125627852789978,0.176225352112676,0.165492957746479,0.195070422535211,0.165492957746479,0.0131543473939907,10
