"","category","count","task_quality_mean_min","task_quality_mean_max","task_quality_median_min","task_quality_median_max"
"1","Loop",307,0.0623102310231023,0.592347947173312,0.0627062706270627,0.590686274509804
"2","Pattern cycling",1700,0.0480858085808581,0.701306006493506,0.0511551155115512,0.732954545454545
"3","Plowing",74,0.0821782178217822,0.714957537105751,0.0775577557755776,0.570454545454545
"4","Reactive meandering",172,0.0453465346534653,0.570999157861867,0.051980198019802,0.578947368421053
"5","Set pattern",106,0.0916197183098592,0.463962592764378,0.0816901408450704,0.544642857142857
"6","Spiraling",41,0.0893234323432343,0.725191207005044,0.115511551155116,0.686635944700461
