"","env","kruskal_p_value","hole_mann_whitney","no_hole_mann_whitney","adjusted_kruskal","adjusted_hole","adjusted_no_hole"
"1","Rectangular","2.94360568757574e-46","0.0193228362288679","0.116746401855377","8.83081706272723e-46","0.0386456724577358","0.116746401855377"
"2","Irregular","2.58121718703261e-81","0.153409456212531","0.324751914358205","7.74365156109783e-81","0.306818912425062","0.324751914358205"
"3","Connected Patches","0.916646914404588",NA,NA,NA,NA,NA
"4","Disconnected Patches","0.000847007344224448",NA,"0.000848326252858244","0.0016940146884489",NA,"0.0016940146884489"
