genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[101]hcAccRgcccccccctdcQIccycmwalcfLccHJccccDccPlcMOtcxKAlcAxcciccccxncxcHxcccccQchHQxcNFKccgbciCccqyccwsi",4.6554e+09,493.247,99,617,345,0, 124
"[104]cytdbcpyHoadcncHewrFcusPcacfAcCcFtfJucbckcccMPFcxMpOcOKaOLAHcahQgcgcuFBicqccHbRAIxiJKvwQfccbcHzlkcHMpwoG",9.26011e+06,7700.65,354,462,266,0, 125
"[85]MdxJHNcHymNqvbMReKcEtwMxdDJOGfNHwoKzlhiCbrNEHFwDKHlChNjpopseCdltcybmHKQMfGftgbNHLLtKH",4.39527e+10,2.17574e+07,1138,409,53,1, 126
"[101]pJNakcHMklabHucpwLEcccDcAPxtcgJthdueBicccfDwqzHgmGPmHfaPlPGJNHLcHmcgcocdHDccpjmHyhNMjOccwnHgwLNhBDccc",1.76278e+08,97628.5,553,281,49,0, 127
"[99]HQbwpyMCLucmaLdscHfQcdcfEcBsJHpElcOcmvcocGMcjOyMrNDydvyAycpNNNaRBcnHwNPGwOoaOGFeKfojeczcBccBQFcnQHt",3.16064e+07,675656,860,227,16,0, 128
"[93]MrcELHgFOdrHObGkpqOQxPBtcHujDcHKJczxacQIbaApjmJtcNqvrLENLKcxzpnlafmHperucAHHHcDfHOIOuQKpyyiyJ",1.13517e+08,1.2542e+06,717,283,36,2, 129
"[102]CRGoJfKnyHQRnHhshzyfjffOnQgldvIfuPhfpAeidOhkPPfKtJrCfyryrycfeeoHKLpGHpbdhJDccwccePaHEcxcHRcrOPFBfqkqHJ",1.18012e+08,252746,1337,296,26,1, 13
"[106]mwscnKhrrcopwwjecccMQmHcnDccQcecccFmcePcfJwcuKshEMmMNHdcENccxrHgcsEMEzcJhfcNDEkesNzcHPlcLcxHcOpNcKyfFncyMG",2.22875e+09,7600.38,192,333,70,0, 130
"[97]cmcaPnQcJlDciwfeBcwcbFaAcHelKgPcddcscycMMPhpoLpcfcccAHgccrwjcoaOcHJMcNaHcifgcvcncvpcdrljwdKcxscMG",2.38207e+12,9.6637e+08,233,608,194,1, 131
"[79]bvHHHKcwkapcdcAyJtQJlefbpccccdivncHJMtFPAHccQblOoocHofcGkcccHpvnMxgcBPcMPHHAnbQ",1.24297e+13,301125,383,584,146,1, 132
"[96]KccQccMrjcHmsvFcMQxsccffoaHwccBacMlPscxLvaNaAJBvccccHcAHcfLuHFHcEcsPcckOcgCcaNoxkccHznJcLbInofcG",2.84901e+09,206866,238,537,271,0, 133
"[99]ccmhKDcRHccPFcxcccgcchccMzhJPcccOrtccpcccAAeFnJzMcHBxrccfcctmQjoeHjLcrduHnlHxcjccckncqGHvxoecGgufcv",7.2441e+06,2937.88,139,218,25,0, 134
