seed,category
"1","Loop"
"2","Loop"
"3","Pattern cycling"
"4","Reactive meandering"
"5","Loop"
"6","Pattern cycling"
"7","Pattern cycling"
"8","Reactive meandering"
"9","Pattern cycling"
"10","Pattern cycling"
"11","Pattern cycling"
"12","Pattern cycling"
"13","Pattern cycling"
"14","Loop"
"15","Pattern cycling"
"16","Loop"
"17","Pattern cycling"
"18","Loop"
"19","Loop"
"20","Set pattern"
"21","Pattern cycling"
"22","Loop"
"23","Pattern cycling"
"24","Pattern cycling"
"25","Pattern cycling"
"26","Pattern cycling"
"27","Pattern cycling"
"28","Pattern cycling"
"29","Loop"
"30","Reactive meandering"
"31","Pattern cycling"
"32","Pattern cycling"
"33","Pattern cycling"
"34","Pattern cycling"
"35","Pattern cycling"
"36","Pattern cycling"
"37","Pattern cycling"
"38","Pattern cycling"
"39","Reactive meandering"
"40","Pattern cycling"
"41","Pattern cycling"
"42","Pattern cycling"
"43","Reactive meandering"
"44","Pattern cycling"
"45","Pattern cycling"
"46","Pattern cycling"
"47","Pattern cycling"
"48","Pattern cycling"
"49","Pattern cycling"
"50","Pattern cycling"
"51","Loop"
"52","Pattern cycling"
"53","Pattern cycling"
"54","Pattern cycling"
"55","Loop"
"56","Pattern cycling"
"57","Loop"
"58","Loop"
"59","Pattern cycling"
"60","Pattern cycling"
"61","Reactive meandering"
"62","Pattern cycling"
"63","Pattern cycling"
"64","Reactive meandering"
"65","Pattern cycling"
"66","Pattern cycling"
"67","Pattern cycling"
"68","Pattern cycling"
"69","Pattern cycling"
"70","Pattern cycling"
"71","Loop"
"72","Pattern cycling"
"73","Pattern cycling"
"74","Reactive meandering"
"75","Pattern cycling"
"76","Pattern cycling"
"77","Loop"
"78","Pattern cycling"
"79","Loop"
"80","Pattern cycling"
"81","Loop"
"82","Loop"
"83","Loop"
"84","Pattern cycling"
"85","Loop"
"86","Pattern cycling"
"87","Reactive meandering"
"88","Pattern cycling"
"89","Pattern cycling"
"90","Pattern cycling"
"91","Reactive meandering"
"92","Loop"
"93","Pattern cycling"
"94","Loop"
"95","Pattern cycling"
"96","Pattern cycling"
"97","Loop"
"98","Loop"
"99","Pattern cycling"
"100","Pattern cycling"
"101","Reactive meandering"
"102","Pattern cycling"
"103","Pattern cycling"
"104","Pattern cycling"
"105","Pattern cycling"
"106","Pattern cycling"
"107","Pattern cycling"
"108","Pattern cycling"
"109","Loop"
"110","Reactive meandering"
"111","Pattern cycling"
"112","Pattern cycling"
"113","Loop"
"114","Loop"
"115","Pattern cycling"
"116","Pattern cycling"
"117","Reactive meandering"
"118","Pattern cycling"
"119","Pattern cycling"
"120","Pattern cycling"
"121","Loop"
"122","Pattern cycling"
"123","Pattern cycling"
"124","Pattern cycling"
"125","Reactive meandering"
"126","Pattern cycling"
"127","Loop"
"128","Pattern cycling"
"129","Pattern cycling"
"130","Pattern cycling"
"131","Pattern cycling"
"132","Pattern cycling"
"133","Pattern cycling"
"134","Pattern cycling"
"135","Pattern cycling"
"136","Pattern cycling"
"137","Reactive meandering"
"138","Pattern cycling"
"139","Pattern cycling"
"140","Pattern cycling"
"141","Pattern cycling"
"142","Reactive meandering"
"143","Pattern cycling"
"144","Loop"
"145","Loop"
"146","Loop"
"147","Pattern cycling"
"148","Loop"
"149","Pattern cycling"
"150","Loop"
"151","Pattern cycling"
"152","Loop"
"153","Pattern cycling"
"154","Pattern cycling"
"155","Pattern cycling"
"156","Pattern cycling"
"157","Pattern cycling"
"158","Pattern cycling"
"159","Pattern cycling"
"160","Pattern cycling"
"161","Pattern cycling"
"162","Pattern cycling"
"163","Pattern cycling"
"164","Pattern cycling"
"165","Pattern cycling"
"166","Loop"
"167","Loop"
"168","Pattern cycling"
"169","Pattern cycling"
"170","Reactive meandering"
"171","Pattern cycling"
"172","Pattern cycling"
"173","Pattern cycling"
"174","Loop"
"175","Loop"
"176","Reactive meandering"
"177","Pattern cycling"
"178","Reactive meandering"
"179","Pattern cycling"
"180","Loop"
"181","Pattern cycling"
"182","Pattern cycling"
"183","Loop"
"184","Pattern cycling"
"185","Pattern cycling"
"186","Pattern cycling"
"187","Pattern cycling"
"188","Loop"
"189","Reactive meandering"
"190","Pattern cycling"
"191","Pattern cycling"
"192","Pattern cycling"
"193","Pattern cycling"
"194","Pattern cycling"
"195","Reactive meandering"
"196","Loop"
"197","Pattern cycling"
"198","Pattern cycling"
"199","Pattern cycling"
"200","Pattern cycling"
