genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[95]cKcHwctccQPczPCccHKcppHcFcJGHHKcKcOctccKfcccoccmRJcekcficbtaMczoccccNbHvIyxnczQAjcxBcnEMcMclGic",7.61412e+10,3.63043e+07,182,218,0,0, 1
"[102]cthgcficcBcctkDmFamFccctqccgBccccycRccccccccvQccwcHccQHcoHccydccndLbPccccbccbciccccMccyQsrcJHcHHHcdcNG",1.34223e+13,8.65711e+06,166,279,16,0, 10
"[103]chcczQPcmcCcObcwafacPeJcxucHOQccQccAcAicackcncFsjcdJHdKccrrcQcQcHBccQHcEwcHcLJrgcMtycIKAccQceccGMKFbcMG",3.82627e+08,1.37921e+06,144,193,0,1, 100
"[93]xlKnceErcPfKFdcLdccwIgccmzfhcBKcOccccOOKccHgMkcOynbaRcBscHjHccccccHcbcjRhuGzNEEczocmuocumBdcB",1.01079e+08,492271,189,226,46,2, 101
"[93]yecbectkcccNInceKcAcAIaucAHIwQBvcQcAsoccuHMcgdPcsczleyNctceubaHHKchcNcRHKBsNccsicbcIcoJOccknt",8.82125e+20,8.47546e+12,204,514,43,2, 102
"[99]LcyJplwclHQccccDKrHfAuccccHHJhacgcvfHDcBccccHDRcNGxkgDKHuOlFcHoxcCvfvlDcfOMccKEBsGcxfnisccevoaocavh",4.49153e+13,4.06872e+08,238,332,25,1, 103
"[100]cHNxcHcccHcHmcAcccQcccmbccehiccclcJNQcaccaAcNqfcRcccsvuFcRccpcJcntcwncccxccHpxcccKHqRcFwcAcNcpfQwcyG",1.46797e+19,2.18744e+11,166,480,49,1, 104
"[96]crMlcupAcBacmcKcccnychLcHhccxcczcfaFnHzbcMecrzJHcvcfdaKmxcBccqEIewyAcHccccmcccccOeqGcCcdjcqccFPG",5.76311e+08,1.18335e+11,170,197,0,1, 105
"[96]dewAjKOcLjtIDakHHiDHocccBOiEcsDfJbgcHMclsFuenGyftbHPcccnIcxbzQIHzAakuFkiKQwcxOhtnuuwPaHvoIaeHcaQ",1.91366e+22,1.11978e+08,337,1182,271,3, 106
"[100]GFvELKdctkxcBobOtKgcApGwBeHcclcccBcxnxcccapjJHccckcOcccjcHccxcnHaFuecHcuamwcvhhmKbcwHaycErDcFlrcycoM",4.25274e+12,1.30743e+09,181,253,0,0, 107
"[92]OcocacHOGcHHmbdvNOicMzEDxGObccdbtymDicNMAuNgnQHhecJuvNckPFkFteNANbGeHFipcMpRlnccokcesHawzMwH",1.69568e+12,2.05659e+07,574,265,20,0, 108
"[101]HckaKHEcccFHcRHkcvsKcodcrpcccqHaQlcMoBccHcudjpjmQfxpcAzxciEelJriqbpJscAHwAtPKcFKLeJcKEMccgPhFzHfpEudb",6.89924e+20,8.65711e+06,304,958,106,3, 109
"[93]mjNgcocczzGMEBDQcLpzIobwfKcwbImcHCbmHtcnJgHEctHotrLetdFHpdLArICPLmIsxdPwdajtOJoHnccJHHnQHLHHv",1.51157e+12,1.06532e+09,668,280,36,0, 11
"[103]BcccwcccbcxcccRtcxcuMrccpoHcmNrcvjHraJjtccqOmQcNKMGsjensccccipPzQNcJgFgcprMMelduhHcanczycgLrxHjcccAbHFa",5.7786e+10,7.05395e+06,312,263,21,2, 110
"[100]pccRdyglcRbccccacCccjccecccHcuccceccicKlcItHaHHkbudDKPJebcLnNLkdbcEcglFRjacccccHcHcckuNwctgGwccBcccH",1.52928e+09,41946.8,199,199,15,0, 111
"[100]zyEkcNHiJwBxuKjoKrjBlvwKchPDnoanHhcHQQHfHHkwiyzkxcPMNclLcHqeEDydRNpKNInvsEBEPJRnOwNrjrHNNEehtvADHFer",2.08665e+14,2.80672e+06,500,445,123,2, 112
"[98]ccIcLEccccccIHBHEcNcMvnLcHCcccsxzcysHccKiEccobcMccccckKcccBjcdNQcfdcfcccdccNcHJcscucccccNykcrccyrk",1.40409e+24,6.76512e+13,114,577,34,2, 113
"[95]ByfDccfmHMbcKONCcHcycoJccmRcRbowwcqcKKDgckcxcnCcJNPrccJQcyHxcNHicybcHHxQcNomHNikDaclzjlccMDKtcG",1.52335e+10,318571,288,209,5,0, 114
"[97]HJMdcmhcccAcFueHHgccHDcecwNcoPacfwdzccHiccNucOrclccCccQcBocmymzacDkcfccpEPucRtocQKcPxccfsapknhxcd",9.14863e+09,1.00808e+06,172,462,238,2, 115
"[101]DbbqfcciccckDcvFNdaMwdoakccccFiJtFFlscsHOcncpRrQpvutwccciccbtawAbHpcccxFHPzvccdcrLMzHhcAxAszcQcccccHv",3.28589e+09,20589,283,232,18,1, 116
"[93]PxiccQcHlRcNPfCcncaHJHHccdRpfooodrcPpAcLjccRFRGuMjrCcczAKcOpArHBNnlacrucJwOdbxccRcRhckCteHDQJ",4.31931e+08,2.95813e+07,389,173,0,0, 117
"[99]FJsDsbjeMFbhJHFcbriwznKfMLdMjmrasceEMcBnncccHpclwwdhlEcAovOOcHcHJacsjlcmbxccMMlcKcHHocLpKHzRcpqcDku",1.1581e+14,3.27708e+07,338,862,287,3, 118
"[100]HtccpccccccpcPcccccccvcsyDcoccncaJcccccccccjccQcccllucccoHcvaEccEcchcMccHcxtccoccccaBccccHcjccHCcOcG",8.57476e+09,87228.8,91,199,0,0, 119
"[100]kdHgeMkcrLOOHchcMFadJjMcRPcsrdHcycwcccOagcHctLucbbwccccnzkeHpBcHcFccMQccjfDcpccccccqtbDctKcFcqcHgsiG",2.84463e+16,3.83655e+10,151,511,141,1, 12
"[93]lKhsPDoNwJHiHMcMGccGcemcxcNAoccaHcGnougFeHcJHfaPdbLHgcveHPlHicLnccJRcjDecNycQqauecgcoebKgBuuK",6.40166e+10,2.70791e+06,291,243,0,1, 120
"[103]GHtKoMFcnocIHeIrcEeeccdDcHHBclcsyccucRcrsQIKeCccxafpahncclyFapcECcceLqJLMctkroicovIcFmMaFiwojLxtxckcGcG",3.77631e+13,9.64215e+10,292,282,10,0, 121
"[78]ouHpckdkatnccBgdAQetcnocJEbHuoFgaNKcbHfucxoHcbrNidcAHMcuMgAPfcsFpQNndJnHxHHGEQ",7.58462e+11,4.68329e+06,464,238,0,0, 122
"[85]ekInMkcQwcNEeIQJIHhcwJmcpaccvHwLzPcwAEHfKcjwcCryPKljcccrhnQGdfPdysHhOLbAxCbkccchcFacH",2.70632e+10,909968,359,209,0,0, 123
"[95]sItsLHHFuHnrcpgpzHpQaNHNHFDfHvIHBccNsPeItbevgczucHbwcpcJcyqccOQcnOGcQeHHDJvsaDNHcyPcEcPIHpEPGBs",3.40573e+10,2.06992e+08,497,244,33,0, 124
