genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[105]uNoDbtpcsoFrsccccbccoacjhlPlMKPlnHpAccrkiwzjmMckncHKGsHGqccIPzAecHtHctfccEHwczcHckcciccjcFxQtHnziccABNccG",4334.9,76.763,196,141,16,2, 124
"[93]LmLHaccFcnccjHcByQcvbxwecApcccacLcHOQLCbdwbHcPictFcHDccKceRAncOQccccIcnceppMcltCdctFcuIHHcRnH",2.3428e+16,2.47987e+06,261,575,63,0, 125
"[96]FMqcceNMlcxfcacsjIcccgcRcHcdcFxHLJxcHcpccLvfcbjscchccdaMccDcfcFcBcoczuPoBRccMeKfcEcrxcgcKcHnscOG",6.40595e+10,2.72465e+12,152,389,51,0, 126
"[102]eHHclcOcLyocchuxccczsQNvMcncolQEHHccEccvfcnyIcPcKRccckcdecRmHhcJccqsvqQccypfcvcCfIfDOQkfcHKcRjIIAIkcse",4.74677e+21,3.29479e+07,197,789,44,2, 127
"[94]bLcHHHPdcfqPbOzcKhintcdalAhBuccCcoHHzcEvicrHctccAecscJEfNbcQJcQBKcgaHHcBcchcuiyQcNDcchxdxccdHH",9.25644e+10,26459.3,219,454,111,0, 128
"[100]sccwfmnLIFcAtQcckcwacujcccBncnbcccKccccchHMAnccRfmcHNcIbMfcAzNocvccccnchaHFcckcdcsbcccHnccdcnHFcgcLh",1.25727e+18,993.391,130,821,118,1, 129
"[80]MHohcMIRkekuzdcplefHdKcHvcBccnpcdccQCcrcAHnOxcKfLdDbbcHbsHaINvvcHxrrixcmwHeOscHO",9.85886e+13,3.89917e+06,269,725,209,3, 13
"[98]HacdcesccFcQcJbjcHqaccMjRmOccRhbcFcHmfcKcczcBccccqccHcqcDuccccjzIEHckcccMqccucRgcnKpcrclcexxHlJccJ",2.21839e+06,315.012,151,299,65,3, 130
"[101]cPIOMNnKKcFoJJfzlEmrcHcrHsicLnoHFHMcBcHcfHPkmDIMGQhcEccjcccAupcfcAvHuKKascKHoacpycQHKyssrrcBKRccJvcyf",4.95266e+19,3.64576e+10,270,917,301,0, 131
"[101]tRuDbstEcwtccbeEJofccwcccFjycoJclMQytcscnJcDychHchccGcFtccslcpxNtcwFcFDfscccMcnccNscHcucbccccuHKcidkR",5.66763e+16,218448,179,564,40,0, 132
"[94]ccccskzcchhbcKcocccHBccQccwPccRccccHHBacHenDcHckccccccBdccHBccRcHIfcLccacQlHecnccccccciicIocqI",3.77918e+07,30253,141,277,40,0, 133
"[87]tPgtcyxhBJncAPALHcKHyvQsIHHcdcMccBKcHPcvQPHEpcGKccjKcMfjHcpOpiocbIBccmiCzHcKbychzcnchcu",7.08199e+19,339767,269,1081,310,1, 134
"[97]czNJbncpstcnhclcuJcEyccxycHzcoMpIAIcfGuwccdccckcutfbccHdeAcvHcsKdcHKcHPqdccIhcRxcdFqcccHccHOcPRcG",4.03747e+14,3.51703e+09,210,545,43,2, 135
"[100]cNgbRfcKcHcNicccqccuclaurAtHCbIwMlwccowNucMswBccsHoIjhLcKPcEijrvdccDcdnHctHoectPtwHcpnyKzEDcycxKcMcp",5.5345e+18,1.71444e+08,228,1220,492,1, 136
"[97]cHdcMucccBccQcIecbcczcIcyOrczcicpntuBapMOGKhcBHBcNEnidcygpfcdccizlcLctcPuaacKccnJHFAcPDcPziQcFfcx",1.54948e+08,504411,171,303,1,3, 137
"[94]mccFFKHpcHgHzamhKIcHcpcHcHvccOczJcBHDcapPKccPnpcfazcctQIFcncICIiDQcegyccNQccFbEccEcccfcIPcClcb",2.14359e+18,3.8571e+06,170,793,81,1, 138
"[99]HKcRMwccckcCObwOHvcsvfsjcccPcNJnEshdvNcKkrlcucbwicmBQQKaiJgxEccieoeaDacxJwcCfcjHuecaHiHgBPcaGzLgHms",3.27606e+14,1.07263e+08,324,463,9,0, 139
"[104]cpKbcEacjcLcDcIhhcrrcMOHccyMHclcHHKcNcHzKccgcJpcccbcpnccejzcHRuBxccoJOccoLCGHCicLpqmrEcchBcbECzhcEBccfoG",1.10824e+13,6.71089e+07,165,416,8,0, 14
"[95]zoQcICpIFQmkdElbQragALHDrcKmhncwgMfcMfxozDMcdypccyLLixeAcvhxHKgcHPIHGzOgLcicvBcHpfgnHMcpHcKcNcH",8.25614e+23,2.53344e+07,284,888,66,2, 140
"[101]cictHDGpscvcyovxsccQAfccmkhcePOncHvpbaklycAwcebHcgedccbIHKcmcrHcbcKyyHcxMGcemIqddAtfccPLnctFQJwNamFes",3.74467e+08,1.16371e+07,253,336,3,1, 141
"[103]PBBdHtHHKlbNqbJLeJcJOHqkEBbsAGkEKGEccNbjBJlcactRPbOOEOMldLLNGKagtvQCEMoJeluFnbgAKzzmRxGIBMAOJthOgxDbbJu",2.8099e+28,6.96873e+11,2663,1336,287,3, 142
"[103]cwbcPccCHfPIHLccNcccOlcrNJHmfNcosDcQvcHAOczoDcAjccJoccccpcceaGtPcjsczcvcHDcsconccitKsbacaHsQncLcwccRKEq",8.38108e+18,1.45231e+12,169,887,152,1, 143
"[97]pEcohcdoJHRHhcbdffcczHwlHHcHHOHePbnjxHAMlHwHJKHffpHjoGKmhcnotKcBcwKisggNHHhtLoMhKncocOttcFruowttm",3.01035e+10,1.53728e+07,374,553,146,1, 144
"[98]HcMcgOcQJrQvhoqcecHaHgHrcPzKHOnpfcccoHHcxHLcCcvcccxdJGcOcccHcHPccEbpcdvEHDcacwBckcdFcmcPcmPctJcccA",659067,2504.05,148,191,9,0, 145
"[88]EpjvwtwJmfQBIoAkcyMcbaHtDdnwiodcCEGxmQatIalwelINmrFJnwHKcocJHqccHHjcHqcaeHJqKLJEeOhlelNG",2.85614e+17,1.12206e+16,743,736,58,1, 146
"[85]mddcHHtcrxONcHOJIOffMxHfcxchcnccDNLoIyHncHcEKCccHHHQqrhKNofGkNfDDnGEcLywavcOAuMqMcldN",6.62981e+12,4.97075e+08,427,508,10,1, 147
"[91]AunfccyCcHwNcIcKmchlcOIHbLspccrNkccfoFrcHHaoOMfhRccvcwfrNHoourudtwHoFFvurlMocBexHcwscPCBNce",6.6926e+13,3801.02,279,840,303,1, 148
"[102]IngzyKcbcOPaCcccHxfctAtdPccFKfhpcfhhHeKINccHeHaHcRhcdQCvcOHtNHFjOyJOdcicRpqLBBrOGcfOubRAogxNkHctuangeA",5.22407e+09,3.26177e+07,357,627,293,2, 149
"[91]lndcHcctNhdgKHdofeOMRucccOcHHAMuHOooknwpgncsfHHwwcKcHxmcIcQNcHfHmcIoMolichgggDaDocorHoJHkFI",3.14503e+16,2.39897e+08,350,637,121,0, 15
"[101]ycAOEkcsCcccLoscQcecLHcpocccywccJQdxacKccqccHRxIroKdccziccgcmcicIIICccyfcHLcDcwcemFcncHFMclhcoxywaDEF",5.159e+17,1.8559e+09,143,825,271,0, 150
"[100]cNJRaccIOfvcwHDcEccnKaFMcFdsfptcpKhMcwycJpccbcctpccGcccHctHwyccOcoAEchcLnhyAiIwQIHxcHcHKcNBtPdcjOict",5.75045e+08,27806,187,360,37,3, 151
"[102]oIEPcjczzOwMcMnaLMoLNjccxcHhHcxccHcccMwRHcHlcucBcBcNchctHgcccHQIvcjecwcccdHmPNKEcucgccdMceoacrMGblxIsv",4.74676e+08,1.27466e+07,164,350,13,1, 152
"[104]ztsevOGbcJFvHCcboHQenaecgexccLAwccwrFNHpgcllHNehccdtDfccBOIcHNhccNfkfxecylKDcHrccPHvKwDcoccBRccOJHhaxcqr",4.73383e+14,9.48434e+16,210,481,22,0, 153
"[90]ccccccccHgocHKcscFcHMcAslcuccqcJhcJcqJPcHHcbcLFclcuEcBcchwnrcccbnHuccfcpccLcHHpPFfHJvccGfP",612290,1754.27,176,181,0,0, 154
"[95]HcQoctcilHdcPKcsonrgciLcIMgFlgbxFKNNccHHlcHfcAcQIccccuxQlcFaMFoEydMcccxcctEucBAcAcIciecwcccMRcf",3.5567e+11,40178.7,141,404,7,2, 155
"[101]hicccHOjcjcQIcccDccoKpcecccfecccQccmccvHccqcccacxcicNHccHOIbcBccRNOkcoQcBoccccfcIKccLccIccGEpaNcslcEG",3.38343e+12,8.94162e+06,127,632,170,3, 156
"[100]fchzjcEHcclcEcoxQIMLHzMpiaicLwdcHstOPggcolqccHvaIHcOFelcyKHcfHsLbHcHBcccHhcHnzcxttcFHjcNHLxgNfCccEIK",2.31395e+13,1.49944e+08,306,624,206,0, 157
"[85]FbGzQAHsNemkbfzcnaHgMQdExrsrpczhpOfmcJNAMRobsHHKcocIqocbqIpMIycIEHLJqajdFONbNuKnyGDla",6.84027e+14,9.56509e+12,697,498,34,0, 158
"[93]jMLIMyJgHvtoaIytMxffOnpGQsKocpHcHEFHKcLcpvcKmocdIKfvnvzHQJAvaHHHHCQzFJkAGcClbkmQJbyINxqPtgqbB",3.84157e+17,1.03892e+12,496,745,62,1, 159
"[98]QccdCxkcccJcwlcPInjBPcRbncQdcdyoccIcQLcNpGcjuawcHrlBcKikcccKHMccNuHlpccccnRxacOcuHIHKAkkOJucHJicse",1.4694e+10,323327,252,320,2,0, 16
"[104]JhclzltcNhucmcKcKJAxqFpjzckQccdGcccJcyHOcHCclcfvcHlnvqHHvFcHcHcKtcnpytPcvycCcogwBicHRcLGxKckHccKcBNRcQxK",3.78013e+09,276009,194,388,16,1, 160
"[94]HcIMccycocQOcNhccHHqccrHeQIHHgcKRjNjyacEcGMHcgFcGJcjcNHccccubcgQzAuMCEscdccssxecMlKecvreckcwMG",5.24241e+09,1.93248e+07,190,337,33,0, 161
"[93]cxeeCccMEvcOccFdHeQIAcpvDpcvccAcwcPFojHdQzQBdnKRcctHcmcdscQQcKcpRcxccBcccLMcsduccxccnHicAHIxA",5.20126e+19,2.14858e+07,210,829,102,3, 162
"[97]jnmiHncctcFcHDoeccatuHaHyFHCccjIOeLKAHhcAccRLcpcCxPbdLrfcnHcyiwDcoccGwDciclRFcccgcFsAtBccccicccky",3.40952e+10,437445,178,389,27,2, 163
