genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[102]szcHORPemONIMckhOaEMejPcwqqPGuaOsmLmkuylEDMRctbjRynMNaakcyzMuifiKcmKwotkagcCcNzicBcxjdgHRMGPQNdcNccbMR",752563,14630.4,972,218,36,3, 1
"[112]mIAnHMBpxKbkdOIEbhkcHkcqqFzdEHokIAqOkwEjicOEEQlawPiyJodgKahQowxjlyinDCkFKtbPoetknmMgjiyLdILCPjgJRabNEwhDhfxoLsJk",26518.6,515.816,2237,192,55,2, 10
"[59]DfssvjeEDMlzhFQHDRrGqdjycIgcPccIocIPMBKgzwBIzcpfzHHMqiiKcqc",2.29548e+06,1355.54,2809,203,6,1, 100
"[102]mONMKccpcclRQhancQioRijfaFIjLbGrckaIkdExLauPJpcbBFwfErEcIFubNmnlvszqnaluhLErrefitHAsAcNprEmyEnOKcwcHcl",3.58596e+06,101100,751,209,6,1, 101
"[79]sncHrgePfNppHanIzgOwfjcOfphlcHrRrEbyxofeOKcPKMwfnaIfHjedrcKQbLQQOjiQaObLiQccccG",265767,8071.65,1048,183,15,2, 102
"[85]MNrnAcgrfKQDesOIMiNuEObcueGxdMDfoQtxddacFtNhDRBBONAFlIsrkneNJAchBsKcCbypqncIlHrqbMphd",35703.1,8694.56,1385,149,8,1, 103
"[80]fvxIOEEHspkzzOGebedIxdKcKQtRIicccwcLRCbpOugaHABwHxaFOctbAlbhfJnNLHMmpQNcHxbyNyEQ",2.3005e+07,8694.67,1018,232,4,0, 104
"[98]BchczocIAQdsdzcyHpKIilzcHrxwcCMKEzfBHmoauwMLkBRxdhxdwFBzuzpaQcIacdlhFKcucAasntFqMuAbtROpcDtcKFcQNG",1.83657e+06,126362,599,196,2,1, 105
"[89]zKEKcNcHadIzAOQoyPjbHHuNssnPrvbyhQPexedFNIAchBxlFaEcgPIqLuvNBdcnvIQPJFKkcnqacJGbafKmFtflj",2.15443e+11,4453.5,568,470,119,2, 106
"[51]OnIMcIzcsBalfxsawOcGHncQQymHaKcskHMAyhMiwrOOcIFKcHm",136114,2646.48,2512,179,20,3, 107
"[91]BKicooozQcyfHgecDpGqGhpxDPfRcMzovdKcekcIcjMvFlhhufaEQpsreMbvIIKcHAOQPywjPcHFOnncancJLaJHznv",518919,308375,873,230,53,1, 108
"[92]wAAJxiiJgMIzrAajdJsJHOJxhelhFGRlmtpmtJIRbbstJwHrNrIdaItQyePHBKIMjORQdDHLMMcOHgqcoFDiollnpeQG",8.7704e+07,6.50002e+06,981,246,0,0, 109
"[100]jAiuMHIMqHacPsttDjIMnuEFBBDEkuRjtFyPeMrFkMdcPNNlOKcCfbbbDeIBOzLrogIkHjeBPHlEjRKcFxcqcrQNhAdsFOKOvEhj",2.88163e+08,5.20054e+06,737,263,1,1, 11
"[100]RQmRRxhncHqMKIHnkchcFPGKchckCPOHAciJANrCpwuDeMollssnCsapqiKgmKjbnKxmLMeabtFBibqJQEqQqtcBuQImgGpcsLeb",2646.07,1572.62,2518,109,3,2, 110
"[95]ACKEkaEpwPONJMMeLsqQzROyAANNGrCfInesPmromcjEByPvxyrufBNykibvtLBaiEmvdEslKlKckIOHvcQIMeNGHRcHIRq",101099,1356.2,2743,175,20,1, 111
"[107]NHcQyladonaODccKcfchcNcRctucxwQcCIcIHKJpcJpseFzqItcfcfKibwgQJcQOeuwboAwFcmaOrLNgwlocBycoMIwcsecktdczPtwclim",9.42667e+06,357813,455,233,17,1, 112
"[61]nxOlmoHKOhcjicPzlyxnHIMQHmcIgcKjDKHPDgxLbzcHMGAHQIIQjjccchsoJ",21217.1,1694.83,2927,134,0,1, 113
"[87]bstKcOAAOeIIspbceaijcgccCcpjlvsajboyHQDcincoGikcuQIKccNcHEKcHIzcyPecPgrpmadDcHaNggfqAph",8.14199e+07,11705.7,659,249,4,1, 114
"[94]zLvIOciPKIHadJNpBmfjOyndgcjKcqcDKjDOGDKfCfcDNaLncGiKRieDKLJJJkyHIzyKhjChnwppxgklCnBcGOKhoJklFJ",3.87966e+08,7.0017e+06,1036,266,0,1, 115
"[69]ItIDnBgzwrgaBRbAEMfHlpAyIsbHQHDNnrbHJfgQjiugxHLHKJNwcCOHcHKNCveaILLuf",4.18824e+09,8.12421e+06,2518,322,24,1, 116
"[91]AzaQwLIjytiKmymPbuPlOsKrzELKupxoHKnrOmmOtKcRitsmoAejInGInbrFRPmEwboKLizPydMmdRpGyukeneKfuBc",5.60193e+06,1.97832e+06,1110,209,0,1, 117
"[83]wfzACJegoHOtedEPnBzJHaPIvssAEBDkeGrGuIfIHIouAjjBLHHMazIjdHImppLKuHIHpiccKcNaQPAPaCR",3.32902e+06,1.70498e+06,2029,258,56,0, 118
"[101]xlcpeAQImeQKcyzcgNIdkCcklpJHdPznIEiwicDufdgfhNRKKIGLPrFxxRKHBPkzGqhNIpfksfBOFRnfEcHfBetnrPFkgxywHddpf",6.55712e+10,1.09619e+08,941,459,124,0, 119
"[90]cvaQvaQPcccMwocIiDcnhcyNcOIvePOitHwcncKwwcccPHzRBkckLkcHQcCQGbljKciccmcRBACFsiRjHvExQinDiB",1.3671e+07,75092.9,540,259,38,3, 12
"[102]nIwcccxccPntuEwPccOrmvOGPfebdiALcQOwlrEugcgcMwamPKcccnNlPcDCcNpbcMctcAccENCcIFBIgfsDcfcFoAkwsHcdgKNqnG",2.13567e+07,4134.37,314,232,5,0, 120
"[93]BMcAHIkatymKczxfxcalAIHgPtFlcIcHcDcjcHcabynccHscbgHywubfccyxckRDckCccAyJMkQivdOpbGgCcaQLyPRic",2.3005e+07,21218.1,412,235,7,0, 121
"[80]hdCzcskjsFPPksKKcHHIlOGRRcjcFFBcwpleieFzHEmcybOOIeQfhAFtvdmjwhzdIDoAjJAxMFGMQqfP",146619,1355.71,1543,160,0,1, 122
"[100]PnrckcEmfHhcAgcubfcKcOjFcIcpEhcBccAIHCcRnIcHciaNRtPooKccJacdlccpfRtzdzFcJRjaorpdtleGxADaeohMNcoJPcsv",518919,14630.5,339,189,12,3, 123
"[61]hcNsBhIhfEtQefnHAHkcyOHQeMcHhHwuvkMeliOPhioIIpPBKcxdecHrojbHo",4.16086e+06,5565.76,1102,217,12,1, 124
"[96]yPHEKcwtoicvDcocIQsPcccGrhcgOcIsFrQbAHqyNycCczAxBBOGELzgsIcxcmFcjHfkcEjcfsmAAbkpIiAMweJKKfryzKbs",3.60956e+09,48069.3,386,406,110,1, 125
"[107]zMeMpuxAAfucEAeRjyOCBPoPQkudBbvxjhbkHayAxehonwdGFxsihhwkzbyLPNOehrgbGqvdbKcFAGArcKcIoaoJzHqNOfGKcNpNmfJDHIP",183256,6956.27,1925,181,18,1, 126
"[94]ezhdkINcnzthrctonotKpCcIgcliAPCwbDbIBHfvjevPHBetjwHzaOzKKcmqLccOeQycaucocunCaoclyveFcNMuxcgcOC",1.02883e+13,3.86273e+06,515,987,584,1, 127
"[60]kuIOcHmejcHLcHiPaaIMelmeHHNBOehcokjcdHnmOJzhIIheKcHCkmoCFcMe",3.58596e+06,246725,2138,350,147,3, 128
"[90]lbiIERvcgJqrlxMBpIojalGyKsckrPbAvmqQmNquECxMCyPjxrflPHorfBGzuizInBGKvAOplgPPQcKNHIPEbKHqyg",940608,75092.1,5086,197,12,1, 129
"[99]cCcrcFeFFIzcKcjafcMdFtcIAOGOcIHdlQeMkcMscOeQbJbNNlPOzdbscKcocqHpjczQDAuraiearyhMrKvcEfrKHbeoqsAaxAz",1.98699e+08,13582.4,529,322,65,2, 13
"[93]pcazcDOiIRmyNuQoAcDOcnsmHENBhajcAkccwdcPDPuoDNwHDcKcpOecqccbcLIcdMackLocaGgoPIcKcHHAOdICccqcj",3.32902e+06,24619.6,403,288,86,0, 130
"[98]QIyoHKbegPmaQyMxnhawcIHHisLeMccMyNIzOhAmegvOxHHjqcccEcMqnfOcPOzQFHBachDcMbtFRcoPdcGOtjiaGoAtLDeGGG",3.60956e+09,332176,1113,421,125,0, 131
"[117]zavfRteaHLNxJlnNaFJjjkoQpyqHOwfaReAxdKIFpRgGPhNIuKwkNtavKmQpyxEjChfiKbPgIBpsMFKylHzbbbKnpfKccIoydNcHIHzcwccodbnHRJCCP",357813,19697.1,3211,185,13,2, 132
"[101]zpvQuIchrMeorBcKcccOcIHzclaaccczQfccspBPcccfcnKyfocmLAccciNchRDcRHEcczfcHkqGqOgcvGQacDcfaEwicmzlsBxrj",810646,7493.28,368,204,21,1, 133
"[100]ARtlOnchoFCAqNgmFiccnekskIxMwshKbrmcfsyMzmldKMNwIezdkckLOLNLAINoNosycHFMdGtmPaOatuyuwOeHQsmtQtffHbKc",8.12421e+06,8694.82,1070,229,15,0, 134
"[81]irfmvmioPKNHoccnIgcoNRcIssQpfaOhoFmixPMnBpcefkIQEcvtsbRueHMPMGrjcjPlQzhbttlyQgfOJ",7.01703e+07,940609,736,247,4,0, 135
"[104]IDeexbJdnPfagCbLclkFgcLibvaxMFxgkQocrFcrcbzIriciIPzcHiKyftNJHNBcjHbibHONgvLyHcwQHNNcOcGcKcycicccibbocNcC",8.78959e+08,286280,392,308,31,3, 136
"[21]EhdKRNHnbvyKdIHIaocIH",6.51425e+07,4.82792e+06,7325,242,0,0, 137
"[92]avQtcOANAEtIjufOkMeGbJAuQQyQtsLpjFydIfciLesNLKevHicccfQQobbrfcQINlBcMlKNHIONcHMctRNjAkRKOpfl",4.84908e+08,69712.5,1034,402,133,1, 138
"[39]KcnpLHIEafmcIQctHPPaJQekHwleBMFPHAOeCNE",38458.7,2850.59,2638,181,39,1, 139
"[81]xjvzhIkkHOuplAdxsFHKycEcpsPHsKLHgLBuKNHQRbIrIFqDMkjwQorzibLssJBsfmAqncExHHLCcAvnc",698641,87131,4994,185,4,0, 14
"[30]JuHKcNcqebIoGIIydufnRHHfymzIlH",2.47806e+07,5.60193e+06,3914,240,11,1, 140
"[90]cdpxsgecfPAsJdrEyjJPesQwsJQswOzBHKEHfQmpHPsrdQjNOvHKhQqOtfBNcckRtjnmypHQncexnurNlOfCaeeQfG",1.3671e+07,183256,852,241,20,1, 141
"[95]KcLcIMRtaQqndfFeIiOnnHupGMaoOGxEQobDiaDIaelqnbsJHvtKQHHAusMlimazaDbEehdLMImcLrOdxmexkakEfBwHLbt",6.03429e+06,4.82792e+06,1233,210,0,1, 142
"[80]IElLxbPomdDOHdmEyKAosOrEdxagHmKcRpDjulpgRCcbBmtIFFBirvnghnunyEmyAFyLtLNMNAsKbAnd",1.70871e+07,1.83657e+06,2046,236,12,1, 143
"[92]eIocIMGPcjHLfebuleKcFbcvHIBcPbjOBoacOupdfcbDdmzKcQhhcOcIOxtlcQmPagcKacLcHndBHlRnbgtoiKcMJiDf",1.09379e+07,60080.3,1207,409,191,3, 144
