genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[91]sclcdPtrfcEfHvJiHzaKcccoFRcmoCcAcvhoLKFoKNNcHDhccbnPjfktoHHKwuPoHFdcvHcCchgeFcOFrPcqjcjmygm",9.47093e+13,1.96397e+07,337,382,102,0, 1
"[96]LcHMxmcEBacKcoFHixbNGqbcctccyJvcPANumHxcMKMqrHkjcHQcyvPccccieseHylaHMHcvcPGQccmrrsOclHvcNceaycil",9.305e+14,6.05772e+07,256,612,0,3, 10
"[106]cpmccBccfntcHonwcccOzRgnNvhicccxcRcccrQccHkuQcccccccccccccidcOeoHgccccicccvccBHucJccqccgsnccGcmdgicjBcDcHL",3.31245e+15,5.18826e+06,168,409,60,1, 100
"[98]ccjcmccKcccgcoxcccPDghFbcmcccHycNgcscKJOccocHHCcccQccHMQLgyrcwtOPccFhIPiHcHcHrAeuCccsJhccccEccckcs",2.20512e+17,8.6416e+07,123,390,0,1, 101
"[97]HzaGBcckcccycJcebicxccyKcccucNcHyqHcttcrcrcxcccQcccfxxPtFcGDcPGcyjcJHcxxBeEfcPcAGciccHHjcckcHDccH",6.40166e+10,1.16347e+06,125,243,0,1, 102
"[102]NiCBICNgQHifibcmxlRxMozzINPwhykreasFeiccKcFanPQOsrNoxcxscIhcfcnHPDOfegIQjcvcOBvcvHveNpaccJfwccDchmAHHz",1.23233e+35,9.69416e+07,447,703,0,0, 103
"[100]ckFzccHcctjyOfcccctcccNHacecOHcczHJpcbxlgcECccREgcmccbcrMEcccccpcccaELcPrgcyfbRKcczQQccbccclcHBccRcm",1.89484e+13,1.18018e+09,189,269,3,0, 104
"[103]KcyRPcccccccccccbcAMdpmccOnbOyicccJqdRGgccgrzrBAcRIBdfLaJcyCcDnpHsKorwDyBOfcKccggcvarpKpbRedmQucscsceHG",9.14863e+09,3.22713e+07,158,236,12,1, 105
"[91]ccpsGgccaKcfoenvxbbAxiuncHfNlcHcQBccJdPtcycdmccDcAcczcOccMacdgccLHHHrMcNccccLAoGqIEykcnOmeb",4.26929e+11,1.93145e+06,220,245,12,0, 106
"[100]JHcriaiccczcEbocErvscucLHrvcafsjHscpfAfODebcKIOcKcxmAfcHQrFeccFcHwbnKOoeyxxKJcNmtcJzajcifEcHakcxccco",6.43611e+14,1.91704e+10,170,432,99,1, 107
"[99]ecAGcCvcqccmrclLHIkcomCcALIlGctfcceHcccncHmmrkdnHHcQchcccHbmNdclIaQclKcNKccqCcrrccEHcBLcHOciOofccHG",1.07908e+10,9.59055e+06,172,273,72,0, 108
"[85]AcctcHccodcgwffPNscrHPJHAsLtHgtcQBcescBccLyccscccckccccQOcwewbxcoidcppBJHFccssPHnHcuG",4.26929e+11,662473,292,233,0,0, 109
"[94]cclcHOCcxcJcHGkCcPsqcdcKcGREccbxsPMKhGlcrccKlMEmitcpccRccMgtcHHEcrhHvctdtcvdccHQbicfHnmjcHuccf",1.60889e+11,1.17101e+07,140,265,13,1, 11
"[98]cwsPOuccgcupOhcxypppcCrcNvclekccwctjccyMcIjBQJcNccqccccxIccIBcHcljEcjcxcamHccxLscHOgdHHflRDctcagcG",6.81382e+09,181393,211,207,10,0, 110
"[101]CcmPecdccbNonccKRoIHpcFiazBccFLlccQcBssGcrNNxcLcHcHDcHNNcOLcvccOcOHKcMcccctKrmfKeFccmKAJeccacgHummcxG",1.93199e+08,23884.6,188,166,0,0, 111
"[100]cPAmcDccAupcaccdmeAcrkcKagnHwOngaAocuocvatccxccccicEAydNccaPINccQvxcqccuctcccccccdnKclhscwjscocItOcG",7.09191e+10,55207.5,186,248,4,1, 112
"[103]GPBsbhcOliccJHnHLcDdQmAGmHPeecaccccccGcHHccnkcccQcccccHlcGcdccHBcGcCclocwqcclclccjccncczjmckgcOHoxclAsG",2.72742e+08,1.51837e+06,192,169,0,0, 113
"[80]yoshrxEJJHfHycfPBueHKBxFdFziOQGrHyncvFrmNKcHdcANFcQzGJPPcKcHexfdnHHoBrInBzabKucm",4.2859e+10,499891,535,213,0,0, 114
"[101]uccccclccHpmdCcccHcIRfciccycDcocMcQcHsDcNyhcvcPlPgcccHMAbRccepOccLcccjscoOccccHtHcPcjgMcmpRKcxcCccHcA",1.318e+15,870898,132,398,58,1, 115
"[89]hcQJwadHdxEcvcOAcinHrHjeGMqpaeafcdQQHbcgcRvaPEnelckfHKccCcJHqdactccocrAPpQJHgscHGHHLaqzBG",3.80574e+11,3.43623e+08,327,260,28,0, 116
