seed,category
"1","Loop"
"2","Pattern cycling"
"3","Loop"
"4","Pattern cycling"
"5","Loop"
"6","Loop"
"7","Loop"
"8","Loop"
"9","Pattern cycling"
"10","Loop"
"11","Loop"
"12","Pattern cycling"
"13","Plowing"
"14","Pattern cycling"
"15","Loop"
"16","Loop"
"17","Pattern cycling"
"18","Loop"
"19","Pattern cycling"
"20","Pattern cycling"
"21","Loop"
"22","Pattern cycling"
"23","Loop"
"24","Pattern cycling"
"25","Reactive meandering"
"26","Pattern cycling"
"27","Loop"
"28","Loop"
"29","Plowing"
"30","Pattern cycling"
"31","Loop"
"32","Loop"
"33","Loop"
"34","Loop"
"35","Loop"
"36","Loop"
"37","Pattern cycling"
"38","Plowing"
"39","Reactive meandering"
"40","Pattern cycling"
"41","Loop"
"42","Loop"
"43","Pattern cycling"
"44","Pattern cycling"
"45","Loop"
"46","Set pattern"
"47","Plowing"
"48","Plowing"
"49","Loop"
"50","Pattern cycling"
"51","Loop"
"52","Loop"
"53","Loop"
"54","Loop"
"55","Loop"
"56","Loop"
"57","Loop"
"58","Pattern cycling"
"59","Pattern cycling"
"60","Pattern cycling"
"61","Pattern cycling"
"62","Pattern cycling"
"63","Spiraling"
"64","Plowing"
"65","Pattern cycling"
"66","Loop"
"67","Loop"
"68","Pattern cycling"
"69","Pattern cycling"
"70","Plowing"
"71","Loop"
"72","Pattern cycling"
"73","Loop"
"74","Plowing"
"75","Set pattern"
"76","Loop"
"77","Loop"
"78","Pattern cycling"
"79","Loop"
"80","Pattern cycling"
"81","Loop"
"82","Loop"
"83","Pattern cycling"
"84","Pattern cycling"
"85","Set pattern"
"86","Loop"
"87","Loop"
"88","Reactive meandering"
"89","Loop"
"90","Pattern cycling"
"91","Loop"
"92","Pattern cycling"
"93","Pattern cycling"
"94","Loop"
"95","Loop"
"96","Loop"
"97","Reactive meandering"
"98","Pattern cycling"
"99","Loop"
"100","Loop"
"101","Loop"
"102","Loop"
"103","Pattern cycling"
"104","Loop"
"105","Loop"
"106","Loop"
"107","Plowing"
"108","Loop"
"109","Pattern cycling"
"110","Loop"
"111","Loop"
"112","Pattern cycling"
"113","Loop"
"114","Loop"
"115","Loop"
"116","Loop"
"117","Loop"
"118","Pattern cycling"
"119","Loop"
"120","Loop"
"121","Loop"
"122","Spiraling"
"123","Loop"
"124","Plowing"
"125","Loop"
"126","Loop"
"127","Loop"
"128","Loop"
"129","Loop"
"130","Pattern cycling"
"131","Pattern cycling"
"132","Pattern cycling"
"133","Loop"
"134","Loop"
"135","Loop"
"136","Pattern cycling"
"137","Loop"
"138","Loop"
"139","Pattern cycling"
"140","Pattern cycling"
"141","Loop"
"142","Loop"
"143","Loop"
"144","Pattern cycling"
"145","Spiraling"
"146","Loop"
"147","Pattern cycling"
"148","Pattern cycling"
"149","Loop"
"150","Pattern cycling"
"151","Loop"
"152","Pattern cycling"
"153","Loop"
"154","Pattern cycling"
"155","Loop"
"156","Loop"
"157","Loop"
"158","Loop"
"159","Loop"
"160","Loop"
"161","Pattern cycling"
"162","Loop"
"163","Loop"
"164","Loop"
"165","Pattern cycling"
"166","Pattern cycling"
"167","Plowing"
"168","Reactive meandering"
"169","Set pattern"
"170","Pattern cycling"
"171","Pattern cycling"
"172","Loop"
"173","Loop"
"174","Loop"
"175","Loop"
"176","Pattern cycling"
"177","Pattern cycling"
"178","Pattern cycling"
"179","Loop"
"180","Loop"
"181","Loop"
"182","Loop"
"183","Pattern cycling"
"184","Reactive meandering"
"185","Pattern cycling"
"186","Loop"
"187","Loop"
"188","Pattern cycling"
"189","Loop"
"190","Loop"
"191","Plowing"
"192","Spiraling"
"193","Pattern cycling"
"194","Loop"
"195","Loop"
"196","Pattern cycling"
"197","Pattern cycling"
"198","Spiraling"
"199","Pattern cycling"
"200","Pattern cycling"
