genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[71]jhcBcjgojodbGANGLdIndzopekcjOnNcIkibHHpPhMBlcpbkkchcJsHPaKpmmaLncIgmKBb",22854.6,9365.56,1822,170,35,3, 1
"[75]BayHOdzLeaHLdHIvbPcIKlKwjaENuldHQHnvIKOGKxvOcBNJQgDkfNjaMzFdpqkypzCjkaNRAog",13581.7,3308.26,1672,163,35,1, 10
"[52]kcbOHzzmoJicLuaeeObHecbeBhNGeKcmIbOIOcIjHpAkFQNKcQtt",2.29548e+06,2457.48,1463,216,19,1, 100
"[88]bdFpGjcnJfymugMcIMctKcLjbcgiBccLNHItFFccpOEAKcmzcQjOlIhogkuwKaQIkQsstMpDLcHMdicOhbcHceQd",1.58628e+07,22855.3,669,280,57,3, 101
"[101]LapKcnbdIHOwGPfQzfdzLpabexIHRQNzicGmcHbHrqcLkuQEahmxaorReBwLyFOtIArprKfyyqbnmldHQIpnkcLcfJMfnMuyHIQdu",87130.6,87131.6,1706,163,10,1, 102
"[96]viLGLzGlzGmxKptOogvcNHLOcHvMjQzInMGHQiKckIvcENHatmvPjleMaOcRkvsPGPeyKcfmcPwdeyDehsxchcbHygmCQHnk",1.58281e+06,38459.7,1005,234,42,1, 103
"[79]OIsclsjcLlroHcoeexhIPLHFhrQlrOHRADeIFBHtdHjPhKNEmCechsMRGCiKhBDwNqvxJBhAMcPJdpv",1.58281e+06,18286,1711,234,42,1, 104
"[84]mkfnCnkNuiCqIwJsavHLpIKKcIPMmBdPccjNbHqpvnDhcvInocImefvffadadHKMbAHRFCqhwpNBvDOjneIe",7.59173e+09,170126,1758,346,40,1, 105
"[83]KbzcJjLctncyplatsHKcRnLjxfogcgQKOButsszlFsgcIRcDezgxlOJJsFnHOHtcKPHCcorPqDPafbbOhci",2.68688e+10,7.5421e+06,825,484,161,1, 106
"[99]LovFztgctxcPuaFzfwaiuGgpJsHaQhnbIaQIglgEKHQyCPOamjpFCuslKaRDKMdeRvekPyDgKBrhsKCAehsfRriwfqbmhtfhfRz",15759.1,1258.49,1472,208,78,3, 107
"[83]HQMyQkcEwczicADDePMyqdJcvcHDGPbBfeBchaICbImcQcdeekKcRjKoBROcyzLKnfAfmHmKBmdptcfFocG",357813,6458.53,710,183,11,1, 108
"[75]QaNEpjNbElzzgyLnKMcROGwfncICMjNoMDciegJqiDaHtndLjamKDQzePnhcFfFKcHEbdjmcdpe",1693.83,867.824,1642,103,3,2, 109
"[75]almxHPxBImaocPdHtzofxHvxFyQCkaAEIKcnNgnmcyHBcOOOGrwacocbHiQgmcPOHQgNcrivLok",229046,55775.8,1240,195,29,0, 11
"[71]NcIFAHvdKctuuGzALlfijcyIgcNHLHfRfGPywcQgqKFlAlIcILbnbdHlMMHaHMeqceQjGlf",38458.7,16975.9,1815,175,33,3, 110
"[67]yhpJIamnKcIHfnxiIefPzHjHzHaMbHoncHmMerHwaRkGEcKqkENGHQfPJECztbtyrgw",5.20054e+06,558970,2090,268,60,1, 111
"[79]dHuguLKEDevqEqyNkrEwgcQmBKPdFvdIomdHMfBvcpcoBcfBcqOGtQByOeQOlNxQxcmrcHohcukBdPy",2.86906e+06,24619.6,1090,228,28,3, 112
"[65]HNIlLxBdcMzhcNcRrbkpoQwoKFeFgsBMLzKwQOcHlPGocKhIcMbGaLHLKcunvHmHN",1.26638e+06,75092.9,1488,230,41,1, 113
"[93]HOPBNRtcOHKIHncdHNyczPcewIHomLRAPlIKhCPzACimAqRuEvjiogwwGjCIuJiqfffIodzApbrDpbfsOaNRcHikNjKcG",518919,38459.1,1683,208,31,2, 114
"[104]zyltIMdGzLvypuahcmMLmHlBsEDRnRwldjgnoQJyfHJjhBriqxkGdexHHIMJmNIPlQffnKNJQJqqlbxLEhnNMMRqNeBcHJfsKsnvHDEI",1.09141e+06,13582.1,2133,340,153,1, 115
"[73]QaILfwEsEbtOOlcwcfrHQcpucicugMpFKcsncNcBcjoHgwerKgycMsvhchcmchkrwzjcrLIoG",518919,3307.81,830,230,53,0, 116
"[87]amHpsBechcoAMyqcccHqgeocHFKMtnxInOGrFhdRMzFEcxwywMxJcOaLHxwOMiFKeQaKmclAMGtKwvzcrhMAaIh",22854.6,383.589,1369,160,25,0, 117
"[100]QpzKIcucAbAPcRsxzNHEDuRFJwHocxLDJFzIIQacyItcgCfcwnOmOBBByHrMGnKcKhdMubOcqcmsfaccrhHwmNkvLEsLNdrHbvBm",6.50002e+06,2647.07,455,262,51,1, 118
